MovieId	Count
171777	3
94466	1
27914	1
182793	297
122892	1
7438	1
116243	69
166425	1
160030	623
110108	979
171807	28
160028	677
132124	69
136988	7
4896	1
122912	1
136992	14
136998	15
183335	3
122916	1
136996	10
164907	2
183339	3
3114	1
137006	5
112175	1
171821	38
2351	1
183085	3
178739	3
9010	1
146487	851
142903	54
179509	2
54072	10
137018	6
137016	6
146489	886
177209	506
137022	9
3134	1
137020	9
109374	1
135232	8
179527	2
137028	5
159050	52
166219	2
6985	1
159048	77
137032	10
182345	2
122701	43
137038	9
166223	2
159053	30
133970	7
137046	10
169818	557
137050	28
169816	875
137048	8
169820	803
137052	12
163430	1
180839	66
179563	2
137064	56
180585	3
54124	108
165743	2
179567	1
40815	1
60016	2
97648	1
165745	2
170865	3
137078	6
148084	33
113529	7
26747	12
113790	1
179581	2
143235	2
179587	2
182657	286
137601	2
98437	13
183941	3
155529	29
135055	19
116108	1
34445	2
159123	980
159125	982
133013	684
159135	984
670	1
89759	1
159133	979
164765	2
178845	3
115617	1
158370	1
182435	7
179619	2
179617	1
122535	640
179627	2
107434	22
8368	1
164787	1
164278	3
55988	1
151989	950
124601	27
5816	1
168888	3
111546	1
161470	2
111548	1
138172	638
170429	1
109762	70
160966	1
129223	858
160970	1
128713	8
34763	32
160974	1
176845	3
26578	1
145620	502
171221	35
6874	2
121051	1
82143	2
155619	2
176359	3
124903	40
103143	1
105191	2
183013	353
154341	3
103145	1
159467	92
140014	68
53228	1
159471	982
137964	51
54001	1
164849	1
147966	873
182527	323
8445	45
182781	284
130558	3
