userId,Movies,overlapCount,avgMovieRatings,avgPopularity
42273,"159135,159125,159471,159123,159133,110108,146489,169816,147966,146487,129223,169820,133013,160028,122535,160030,169818,145620,159467,151989",0,4.75,1.2
42577,"159135,159125,159471,159123,159133,110108,146489,169816,147966,146487,129223,169820,160028,133013,122535,160030,169818,151989,145620,183013",0,4.75,1.2
42779,"159135,159125,159471,159123,159133,138172,110108,151989,177209,182527,182793,182657,182781,183013,171821,146489,169816,147966,129223,146487",0,4.7,1.25
43130,"159135,159471,159125,159123,159133,110108,151989,138172,177209,182527,182793,182657,182781,183013,146489,169816,147966,146487,129223,169820",0,4.7,1.25
43256,"159471,159135,159125,159123,159133,110108,151989,138172,177209,182527,182793,182657,182781,183013,159467,54124,34763,146489,169816,147966",0,4.1,1.4
43450,"159471,159123,159125,159135,159133,159048,116243,140014,180839,142903,109762,159050,132124,122701,137964,124903,171221,159053,110108,151989",0,4.8,2145.75
43606,"159471,159135,159125,159123,159133,110108,151989,138172,177209,182527,182793,182657,182781,146489,169816,147966,146487,129223,169820,183013",0,4.7,1.3
43831,"159471,159135,159125,159123,159133,138172,110108,151989,54124,107434,183013,177209,155529,124601,182527,182793,182657,182781,135055,171821",0,4.35,1.55
43853,"159135,159125,159471,159123,159133,110108,151989,146489,169816,147966,146487,129223,169820,160028,133013,122535,160030,169818,145620,138172",0,4.85,1.3
43966,"138172,159135,159125,159471,159123,159133,110108,171821,171807,151989,177209,183013,124601,54124,155529,135232,148084,34763,146489,147966",0,4.15,19327.45
44038,"159135,159125,159471,159123,159133,110108,138172,151989,177209,183013,54124,146489,169816,147966,129223,146487,169820,160028,133013,122535",0,4.5,1.15
44363,"159135,159125,159471,159123,159133,110108,151989,138172,177209,146489,169816,147966,183013,146487,129223,169820,160028,133013,122535,160030",0,4.75,1.05
44447,"159471,159125,159135,159123,159133,159048,140014,116243,109762,132124,180839,142903,137964,159050,122701,124903,171221,159053,110108,151989",0,4.8,1.25
44454,"159471,159135,159125,159123,159133,110108,151989,138172,177209,182527,182793,182657,182781,183013,146489,169816,147966,146487,129223,169820",0,4.7,1.55
44807,"159135,159125,159471,159123,159133,110108,138172,151989,177209,183013,146489,169816,147966,146487,129223,169820,160028,133013,122535,160030",0,4.75,1.25
45101,"110108,159135,159125,159471,159123,159133,151989,146489,169816,147966,146487,129223,169820,133013,160028,122535,160030,169818,145620,183013",0,4.75,1.05
