UserId	Movies
42273	159135,159125,159471,159123,159133,110108,146489,169816,147966,146487,129223,169820,133013,160028,122535,160030,169818,145620,159467,151989
42577	159135,159125,159471,159123,159133,110108,146489,169816,147966,146487,129223,169820,160028,133013,122535,160030,169818,151989,145620,183013
42779	159135,159125,159471,159123,159133,138172,110108,151989,177209,182527,182793,182657,182781,183013,171821,146489,169816,147966,129223,146487
43130	159135,159471,159125,159123,159133,110108,151989,138172,177209,182527,182793,182657,182781,183013,146489,169816,147966,146487,129223,169820
43256	159471,159135,159125,159123,159133,110108,151989,138172,177209,182527,182793,182657,182781,183013,159467,54124,34763,146489,169816,147966
43450	159471,159123,159125,159135,159133,159048,116243,140014,180839,142903,109762,159050,132124,122701,137964,124903,171221,159053,110108,151989
43606	159471,159135,159125,159123,159133,110108,151989,138172,177209,182527,182793,182657,182781,146489,169816,147966,146487,129223,169820,183013
43831	159471,159135,159125,159123,159133,138172,110108,151989,54124,107434,183013,177209,155529,124601,182527,182793,182657,182781,135055,171821
43853	159135,159125,159471,159123,159133,110108,151989,146489,169816,147966,146487,129223,169820,160028,133013,122535,160030,169818,145620,138172
43966	138172,159135,159125,159471,159123,159133,110108,171821,171807,151989,177209,183013,124601,54124,155529,135232,148084,34763,146489,147966
44038	159135,159125,159471,159123,159133,110108,138172,151989,177209,183013,54124,146489,169816,147966,129223,146487,169820,160028,133013,122535
44363	159135,159125,159471,159123,159133,110108,151989,138172,177209,146489,169816,147966,183013,146487,129223,169820,160028,133013,122535,160030
44447	159471,159125,159135,159123,159133,159048,140014,116243,109762,132124,180839,142903,137964,159050,122701,124903,171221,159053,110108,151989
44454	159471,159135,159125,159123,159133,110108,151989,138172,177209,182527,182793,182657,182781,183013,146489,169816,147966,146487,129223,169820
44807	159135,159125,159471,159123,159133,110108,138172,151989,177209,183013,146489,169816,147966,146487,129223,169820,160028,133013,122535,160030
45101	110108,159135,159125,159471,159123,159133,151989,146489,169816,147966,146487,129223,169820,133013,160028,122535,160030,169818,145620,183013
45259	159135,159125,159471,159123,159133,110108,151989,138172,177209,183013,182527,182793,182657,182781,146489,169816,147966,146487,129223,169820
45999	159135,159125,159471,159123,159133,110108,151989,146489,169816,147966,146487,129223,169820,133013,160028,122535,160030,169818,145620,182527
46629	159135,159125,159471,159123,159133,110108,151989,146489,169816,147966,146487,129223,169820,160028,133013,122535,160030,169818,145620,183013
47230	110108,146489,169816,147966,146487,129223,169820,160028,133013,122535,160030,169818,145620,151989,183013,138172,137064,137050,136998,136992
47701	159135,159125,159471,159123,159133,110108,151989,138172,177209,182527,182793,182657,182781,146489,169816,147966,146487,129223,183013,169820
47944	159135,159125,159471,159123,159133,110108,151989,146489,169816,147966,146487,129223,169820,160028,133013,122535,160030,169818,145620,138172
47993	159135,159471,159125,159123,159133,110108,151989,138172,177209,183013,182527,182793,182657,182781,54124,146489,169816,147966,146487,129223
48351	159135,159471,159125,159123,159133,110108,151989,183013,177209,138172,146489,169816,147966,129223,146487,169820,160028,133013,122535,160030
48934	159471,159135,159125,159123,159133,110108,151989,138172,177209,183013,182527,182793,182657,182781,146489,169816,147966,129223,146487,169820
49212	110108,138172,151989,155529,159135,159125,159471,183013,159123,159133,135232,177209,54124,171821,146489,169816,147966,146487,129223,169820
49796	159135,159471,159125,159123,159133,138172,110108,151989,124601,177209,183013,54124,182527,182793,148084,182657,182781,171821,171807,107434
50330	159471,159135,159125,159123,159133,110108,151989,138172,177209,54124,183013,107434,182527,182793,182657,182781,135055,34763,124601,146489
51444	159135,159125,159471,159123,159133,110108,151989,146489,169816,147966,146487,129223,169820,133013,160028,122535,160030,169818,145620,183013
51875	159471,159123,159125,159135,159133,159048,116243,140014,180839,132124,109762,142903,159050,137964,122701,124903,171221,159053,110108,151989
51890	159471,159123,159125,159135,159133,159048,140014,116243,180839,159050,142903,132124,109762,137964,122701,171221,124903,159053,110108,151989
51939	159471,159135,159125,159123,159133,110108,151989,159048,138172,180839,116243,140014,109762,132124,142903,159050,137964,122701,124903,171221
51966	159135,159125,159471,159123,159133,110108,151989,138172,177209,182527,182793,182657,182781,159048,116243,140014,180839,109762,132124,142903
51982	159135,159125,159471,159123,159133,110108,151989,146489,169816,147966,146487,129223,169820,133013,160028,122535,160030,169818,145620,138172
52146	159471,159123,159135,159125,159133,110108,151989,159467,182527,182793,182657,182781,177209,146489,169816,147966,146487,129223,169820,133013
53023	159471,159125,159135,159123,159133,110108,159048,140014,116243,132124,180839,109762,137964,159050,142903,122701,124903,151989,171221,159053
53834	159135,159125,159471,159123,159133,110108,151989,146489,169816,147966,146487,129223,169820,133013,160028,138172,122535,160030,169818,145620
54018	159471,159123,159135,159125,159133,110108,138172,151989,124601,54124,177209,34763,183013,155529,182527,182793,182657,182781,171821,60016
