userId,Movies,overlapCount,avgMovieRatings,avgPopularity
42273,"159133,159135,159125,159471,159123,110108,169816,133013,159467,147966,145620,160028,146487,169818,122535,129223,146489,169820,160030,151989",0,4.75,1.2
42577,"159133,159135,159471,159125,159123,110108,151989,169816,133013,147966,145620,160028,146487,169818,122535,129223,146489,169820,160030,183013",0,4.75,1.15
42779,"159135,159125,159471,159133,159123,138172,110108,151989,177209,183013,171807,171821,182527,182781,182657,182793,54124,124601,135055,8445",0,4.1,1.2
43130,"159135,159125,159133,159471,159123,110108,151989,138172,177209,183013,182527,182781,182657,182793,169816,133013,147966,145620,160028,146487",0,4.7,1.25
43256,"159135,159125,159133,159471,159123,110108,151989,138172,183013,177209,182527,182781,182657,182793,54124,159467,169816,133013,147966,145620",0,4.35,1.3
43450,"159135,159125,159471,159123,159133,116243,180839,132124,159048,109762,122701,159053,142903,124903,159050,137964,140014,171221,110108,138172",0,4.8,1.15
43606,"159135,159125,159133,159471,159123,110108,151989,138172,177209,182527,182781,182657,182793,183013,169816,133013,147966,145620,160028,146487",0,4.7,1.25
43831,"159135,159125,159471,159133,159123,138172,110108,151989,54124,183013,177209,124601,135055,107434,155529,182527,182781,182657,182793,171821",0,4.35,1.25
43853,"159135,159133,159125,159471,159123,110108,151989,169816,133013,147966,145620,160028,146487,169818,122535,129223,146489,169820,160030,183013",0,4.75,1.15
43966,"138172,110108,159135,159125,159133,159471,159123,151989,135232,171807,171821,183013,177209,155529,54124,169816,133013,147966,145620,160028",0,4.5,1.1
44038,"159135,159133,159125,159471,159123,110108,138172,151989,177209,183013,54124,182527,182781,182657,169816,133013,182793,147966,145620,160028",0,4.45,1.2
44363,"159135,159133,159125,159471,159123,110108,151989,138172,177209,183013,169816,133013,147966,145620,160028,146487,169818,122535,129223,146489",0,4.75,1.15
44447,"159135,159125,159471,159133,159123,116243,180839,159048,109762,132124,122701,159053,124903,142903,159050,137964,140014,171221,110108,138172",0,4.8,1.15
44454,"159135,159125,159471,159133,159123,110108,151989,138172,177209,183013,182527,182781,182657,182793,54124,169816,133013,147966,145620,160028",0,4.45,1.2
44807,"159135,159133,159125,159471,159123,110108,138172,151989,183013,177209,34763,171807,171821,182527,182781,182657,54124,182793,169816,133013",0,4.2,1.15
45101,"110108,159133,159135,159125,159471,159123,151989,169816,133013,147966,145620,160028,146487,169818,122535,129223,146489,169820,160030,183013",0,4.75,1.15
45259,"159135,159133,159125,159471,159123,110108,151989,138172,177209,183013,182527,182781,182657,182793,169816,133013,147966,145620,160028,146487",0,4.7,1.25
45999,"159135,159133,159125,159471,159123,110108,151989,177209,182527,182781,182657,182793,138172,183013,169816,133013,147966,145620,160028,146487",0,4.7,1.25
46629,"159133,159135,159125,159471,159123,110108,151989,169816,133013,147966,145620,160028,146487,169818,122535,129223,146489,169820,160030,183013",0,4.75,1.15
47230,"110108,151989,169816,133013,147966,145620,160028,146487,169818,122535,129223,146489,169820,160030,183013,177209,159133,138172,159135,159125",0,4.75,1.15
47701,"159135,159133,159125,159471,159123,110108,151989,138172,177209,183013,182527,182781,182657,182793,169816,133013,147966,145620,160028,146487",0,4.7,1.25
47944,"159135,159133,159471,159125,159123,110108,151989,169816,133013,147966,145620,160028,146487,169818,122535,129223,146489,169820,160030,183013",0,4.75,1.15
47993,"159135,159133,159125,159471,159123,110108,151989,138172,183013,177209,182527,182781,182657,182793,54124,169816,133013,147966,145620,160028",0,4.45,1.2
48351,"159135,159133,159125,159471,159123,110108,151989,183013,177209,138172,169816,133013,147966,54124,145620,160028,146487,169818,122535,129223",0,4.5,1.1
48934,"159135,159125,159133,159471,159123,110108,151989,138172,177209,183013,182527,182781,182657,182793,169816,133013,147966,145620,160028,146487",0,4.7,1.25
49212,"110108,135232,138172,155529,151989,183013,169816,133013,147966,145620,160028,146487,169818,122535,129223,146489,183941,169820,160030,177209",0,4.8,1.1
49796,"159135,159125,159133,159471,159123,138172,110108,151989,124601,177209,183013,54124,182527,182781,182657,182793,148084,171807,171821,135055",0,4.35,1.25
50330,"159135,159133,159125,159471,159123,110108,151989,138172,177209,183013,182527,182781,182657,182793,54124,107434,135055,169816,133013,147966",0,4.45,1.2
51444,"159135,159133,159125,159471,159123,110108,151989,169816,133013,147966,145620,160028,146487,169818,122535,129223,146489,169820,160030,183013",0,4.75,1.15
51875,"159135,159125,159471,159133,159123,116243,180839,132124,109762,110108,159048,122701,159053,124903,159050,142903,137964,140014,171221,151989",0,4.8,1.15
51890,"159135,159125,159471,159133,159123,116243,180839,132124,159048,109762,110108,122701,124903,159053,159050,159467,142903,137964,140014,171221",0,4.7,1.25
51939,"159135,159125,159133,159471,159123,110108,116243,180839,132124,159048,109762,122701,151989,159053,142903,124903,137964,159050,140014,138172",0,4.85,1.1
51966,"159135,159125,159133,159471,159123,110108,151989,116243,180839,138172,132124,159048,109762,122701,159053,142903,124903,137964,159050,140014",0,4.85,1.1
51982,"159135,159133,159125,159471,159123,110108,151989,138172,169816,133013,147966,145620,160028,146487,169818,122535,129223,146489,169820,160030",0,4.85,1.1
52146,"159135,159125,159471,159133,159123,110108,151989,159467,182527,182781,182657,182793,177209,183013,138172,169816,133013,147966,145620,160028",0,4.6,1.35
53023,"159135,159125,159471,159133,159123,116243,180839,132124,109762,159048,122701,159053,124903,159050,142903,110108,137964,140014,171221,151989",0,4.8,1.15
53834,"159135,159133,159125,159471,159123,110108,151989,138172,183013,177209,169816,133013,147966,145620,160028,146487,169818,122535,129223,146489",0,4.75,1.15
54018,"159135,159125,159471,159133,159123,110108,138172,151989,177209,124601,54124,155529,183013,182527,182781,182657,182793,135055,107434,34763",0,4.1,1.2
54441,"159135,159133,159471,159125,159123,110108,151989,169816,133013,147966,145620,160028,146487,169818,122535,129223,146489,169820,160030,177209",0,4.85,1.1
54449,"159135,159133,159125,159471,159123,138172,110108,151989,177209,183013,182527,182781,182657,182793,135055,148084,169816,133013,147966,145620",0,4.7,1.25
54466,"159135,159125,159133,159471,159123,110108,151989,138172,177209,183013,169816,133013,147966,145620,160028,182527,146487,182781,169818,182657",0,4.75,1.15
55448,"159135,159133,159125,159471,159123,110108,151989,138172,183013,177209,182527,182781,182657,182793,54124,135055,34763,169816,133013,147966",0,4.2,1.15
55701,"159135,159125,159133,159471,159123,110108,151989,138172,183013,177209,182527,182781,182657,182793,171807,171821,54124,169816,133013,147966",0,4.45,1.2
55768,"159135,159125,159471,159133,159123,110108,151989,138172,177209,182527,182781,182657,182793,183013,116243,180839,54124,159048,132124,109762",0,4.45,1.2
55951,"159135,159125,159471,159133,159123,110108,151989,138172,182527,182781,182657,177209,182793,183013,169816,133013,147966,145620,160028,146487",0,4.7,1.25
56103,"159135,159125,159471,159133,159123,116243,180839,159048,132124,109762,122701,159053,142903,124903,137964,159050,140014,171221,138172,110108",0,4.8,1.15
56116,"159135,159125,159471,159133,159123,110108,151989,116243,180839,159048,132124,109762,159053,122701,142903,124903,137964,140014,159050,171221",0,4.8,1.15
