userId,Movies,overlapCount
42273,"110108,159467,159123,159133,159125,159135,159471,138172,151989,107434,182657,182781,182527,182793,54124,135055,34763,177209,47782,155713",0
42577,"110108,182657,182781,182527,182793,34763,107434,177209,138172,151989,135232,167368,167496,124601,54124,175479,177325,183339,183335,171777",0
42779,"159467,159125,159135,159471,159123,159133,183013,138172,54124,110108,137046,137052,134757,137022,137032,137026,136996,137006,137038,137078",0
43130,"183013,159467,159125,159471,159123,159135,159133,177209,138172,151989,54124,137046,137052,137022,137032,137026,136996,137006,137038,137078",0
43256,"159467,159135,159125,159123,159133,159471,110108,138172,183013,54124,182793,182781,182657,182527,151989,177209,179065,178057,183057,183913",0
43450,"924,670,159467,159125,159471,159135,159133,159123,6643,26150,6985,26003,183013,26587,6669,2351,6896,668,138172,137964",0
43606,"159125,159467,159123,159135,159471,159133,138172,183013,54124,151989,137046,137022,137052,137032,137026,136996,137006,137038,137078,137028",0
43831,"858,1221,60267,143717,138925,123569,117656,161732,122068,27396,108672,32990,1387,183013,176959,182793,182781,182657,182527,183941",0
43853,"110108,182527,182781,182657,182793,138172,151989,107434,54124,177209,34763,183013,124601,159467,173153,34445,167496,167368,177903,179065",0
43966,"7153,4993,5952,260,1196,1210,88125,69844,81834,139630,182781,182657,182527,182793,117656,54001,3226,129733,168644,168888",1
44038,"110108,182781,182657,182527,182793,177209,138172,27137,151989,183013,137046,137052,137022,137032,136996,137026,137006,137038,137078,183941",0
44363,"138172,110108,183013,137046,137052,137022,137032,137026,136996,137006,137038,137078,137028,136988,137048,26747,137020,137064,136998,137018",0
44447,"159467,159125,159135,159471,159133,159123,138172,668,183013,137964,159053,159050,109762,142903,132124,122701,116243,180839,171221,140014",0
44454,"159467,159125,159123,159135,159471,159133,183013,138172,110108,183057,183913,178057,179065,177921,179019,135310,177903,143833,178881,178417",0
44807,"110108,159467,159123,159125,159133,159135,159471,182781,182657,182793,182527,54124,177209,134757,107434,137046,137052,137022,137032,136996",0
