UserId	Movies
42273	110108,159471,159123,159133,159125,159467,159135,151989,34763,138172,107434,54124,182657,182781,182793,182527,135055,177209,183339,176845
42577	110108,182657,182781,182793,182527,34763,107434,177209,138172,151989,167368,167496,124601,135232,54124,159471,159123,159467,175479,159133
42779	159467,159471,159135,159125,159123,159133,183013,138172,134757,54124,136996,137032,137038,137048,137020,137016,137046,137026,137078,54072
43130	177209,183013,138172,159467,151989,159125,159135,159471,159133,159123,54124,136996,137032,137038,137048,137020,137016,137046,137026,137078
43256	159467,159471,159123,159133,159125,159135,110108,138172,54124,183013,151989,182781,182793,177209,182657,182527,107434,183057,178057,178415
43450	924,670,26150,6643,6669,6985,159467,668,159135,159133,159125,159471,159123,26082,26003,2351,26587,3134,2731,183013
43606	159467,159471,159133,159123,159125,159135,138172,183013,54124,136996,137032,137038,137048,137020,137016,137046,137026,137078,54072,137018
43831	182781,182793,182657,117656,182527,161732,27396,143717,122068,138925,123569,183013,60267,151989,181495,183941,183947,60221,159749,138172
43853	110108,182781,182657,182793,182527,138172,151989,107434,54124,177209,34763,183013,124601,34445,173153,167368,167496,178415,179019,178881
43966	4993,7153,5952,260,1196,1210,182527,182781,182657,182793,139630,88125,117656,3226,129733,110108,168644,168888,130558,135232
44038	110108,182781,182793,182657,182527,177209,138172,183941,27137,136996,151989,137032,137048,137038,137020,137016,137046,137026,137078,183013
44363	138172,110108,136996,137032,137038,137048,137020,137016,137046,137026,137078,54072,137018,137052,136992,137028,137050,137006,137022,183013
44447	159467,159471,159133,159123,159135,159125,670,159050,124903,137964,122701,159048,159053,116243,132124,138172,109762,140014,142903,180839
44454	159467,159471,159123,159133,159125,159135,183013,110108,138172,178057,178417,183057,183913,178415,178881,135310,179019,143833,177903,177921
44807	110108,159467,159471,159123,159125,159133,159135,54124,182781,182657,182793,182527,107434,177209,138172,136996,137032,137038,137048,137020
45101	177209,110108,182793,182657,182781,182527,34763,151989,138172,54124,183941,27137,107434,162022,124601,124287,183947,143422,155529,137853
45259	159467,159471,159123,159133,159125,159135,110108,138172,151989,183013,177209,182781,182793,182657,182527,54124,107434,34763,136996,137032
45999	183013,138172,159467,159125,159135,159471,159123,159133,54124,177209,151989,136996,137032,137038,137048,137020,137046,137016,137026,137078
46629	110108,182793,182781,182657,182527,138172,177209,34763,124601,151989,107434,54124,179019,178415,178881,179065,177921,183013,177903,143833
47230	182793,182781,182657,182527,110108,177209,34763,107434,124601,151989,172071,141064,138172,167368,167496,158378,183947,34445,183941,175617
47701	159467,183013,138172,159471,159123,159125,159135,159133,177209,54124,151989,110108,136996,137032,137038,137048,137020,137016,137046,137026
47944	110108,159471,159123,159133,159125,159135,159467,34763,182781,182793,182657,182527,177209,151989,138172,107434,167368,167496,136996,137032
47993	110108,182781,182793,182657,182527,159467,177209,159471,159123,159135,159133,159125,151989,138172,183013,107434,134757,34763,136996,137032
48351	138172,182793,182781,182657,182527,110108,167666,107434,34763,151989,124601,177209,175617,137048,137038,137020,137032,136996,137046,137016
48934	159467,159471,159123,159133,159125,159135,110108,138172,177209,107434,183013,151989,34763,136996,137032,137038,137048,137020,137016,137046
49212	110108,182657,182793,182527,182781,34763,138172,107434,177209,135232,151989,168888,130558,138568,130544,183437,34445,164849,3226,178769
49796	60221,138172,149879,179621,168020,166229,164771,179617,165745,179531,179619,179635,164907,179627,137601,179591,179581,165381,166223,143235
50330	180585,170865,154341,178739,178845,183085,182345,164278,138172,183013,183941,177209,27137,161470,183947,136996,137032,137048,137038,137020
51444	110108,138172,34763,151989,182781,182657,182793,182527,177209,107434,159467,159123,159471,159133,159125,159135,155713,47782,54124,124601
51875	159133,159125,159135,159471,159123,159467,183013,138172,54124,151989,47782,155713,124903,137964,159050,109762,180839,116243,159053,140014
51890	159467,159133,159125,159471,159135,159123,50742,86237,8620,183013,138172,54124,27366,136996,137032,137038,137048,137020,137016,137046
51939	159467,159125,159471,159123,159133,159135,138172,54124,183013,124903,137964,159050,122701,159048,140014,109762,116243,159053,132124,142903
51966	159467,159471,159125,159123,159133,159135,54124,124903,137964,159050,122701,159048,140014,142903,116243,159053,109762,132124,171221,180839
51982	110108,182781,182657,182793,182527,138172,107434,34763,151989,177209,124601,135055,178417,135310,183913,178881,179019,183057,178415,178057
52146	159467,159133,159125,159135,159471,159123,138172,183013,54124,47782,155713,135055,151989,178057,178415,143833,177903,177921,183913,183057
53023	159133,159471,159123,159125,159135,159467,54124,138172,183013,136996,137032,137038,137048,137020,137016,137046,137026,137078,54072,137018
53834	110108,159467,159471,159123,159125,159133,159135,151989,138172,177209,34763,182781,182657,182793,182527,107434,54124,183013,135055,155713
54018	138172,95517,129733,95977,93967,94972,162364,172981,32435,60221,162702,161944,177609,141275,175737,175731,175727,175709,175729,159467
54441	159467,159471,159133,159123,159135,159125,110108,183013,54124,138172,177209,136996,137032,137038,137048,137020,137046,137016,137026,137078
54449	110108,164907,179627,166225,179591,165745,179527,179547,164771,143235,165743,179629,164861,179617,179559,179621,168020,166229,179635,124987
54466	159467,159471,159123,159125,159133,159135,138172,110108,54124,183013,136996,137032,137038,137048,137020,137016,137046,137026,137078,54072
55448	54124,138172,180279,180273,159125,159467,159123,159471,159133,159135,177609,117656,183013,175617,107434,167666,146489,122535,147966,146487
55701	26528,159467,159471,159133,159125,159123,159135,93988,110108,54124,138172,159050,124903,137964,159048,140014,122701,116243,159053,109762
55768	159467,159135,159133,159471,159125,159123,183013,27396,161732,143717,138925,123569,122068,164165,137964,124903,159050,109762,122701,180839
55951	159467,159471,159133,159123,159125,159135,54124,110108,183013,138172,151989,165745,143235,164861,124987,179559,166231,179591,179625,164907
