MovieId	Count
8195	2
175617	2
122882	1
165383	64
1029	1
165381	71
1545	2
182793	331
2571	1
6669	4
122892	1
2575	1
179731	2
116243	54
172049	1
122898	1
3093	1
26133	1
110102	1
110108	731
29	1
132124	70
122912	2
172071	5
122916	1
26150	3
164907	83
122920	1
122926	2
178739	9
2609	1
142903	40
146487	1
3125	1
58425	2
5690	1
177209	513
26171	1
88125	3
3134	5
135232	18
155713	83
7748	1
60487	1
167496	30
182345	9
7762	1
594	1
596	1
71252	1
7767	3
4183	1
106072	1
602	1
7265	1
163430	1
180839	70
134757	2
5224	2
105	1
183913	58
162414	1
95858	1
172151	1
175733	4
632	1
1658	1
127098	3
123	1
26747	1
1148	1
81535	1
6783	2
2691	1
104069	3
183941	32
158344	3
135310	50
4237	1
166028	3
183437	1
89745	1
2705	1
93840	1
1683	1
25750	1
89753	1
161944	1
668	6
670	6
178845	13
7327	1
158370	1
78499	1
47782	84
166	1
158378	2
138923	2
2731	1
1196	2
138925	32
123569	35
8368	1
55988	1
1717	1
1206	2
1208	1
184	1
124601	9
5816	1
1721	1
1210	1
53435	1
1212	1
161470	1
7361	1
193	2
109762	65
178881	40
134849	2
131777	1
160966	2
1221	1
117444	1
129223	1
1223	1
160970	2
3273	1
160974	2
204	1
25805	2
151759	1
1230	1
720	2
52435	1
156369	1
69844	2
122068	28
213	1
33493	1
171221	70
6874	2
1243	1
82143	6
735	1
1248	1
1251	2
2275	1
1252	1
162022	6
4325	1
27366	3
183013	552
154341	9
231	1
159467	739
745	1
3307	1
140014	40
102125	1
159471	744
178415	71
177903	41
84716	1
137964	63
750	3
94959	1
4335	1
167666	7
54001	1
178417	72
181495	1
757	1
182527	330
2305	1
177921	43
94466	1
260	3
1284	2
27396	32
6918	7
4873	1
141064	3
1805	1
7438	2
124174	1
3855	1
183057	42
2839	1
6935	1
1306	1
160030	1
95517	1
8477	1
136988	667
160028	1
116513	1
4896	1
6433	2
136992	175
105250	3
136998	2
136996	20
296	1
137006	28
2351	1
183085	9
9010	1
179509	84
137018	321
2361	1
137016	109
55098	1
137022	559
60221	9
176959	9
86332	1
137020	31
109374	1
137026	534
5952	2
137024	659
155968	1
6981	1
137028	649
4422	1
326	2
164165	35
159050	52
86345	3
102217	1
179019	60
179531	35
6985	4
159048	59
137032	99
86347	2
138568	2
32587	1
137038	596
122701	67
179535	104
166223	44
159053	69
3920	1
2897	1
166225	44
5971	1
137046	45
166231	102
166229	69
3415	2
137050	677
169818	1
137048	8
169816	1
77658	1
2395	1
137052	491
155996	1
25954	1
156000	1
3429	1
165733	98
143717	29
86377	3
2920	2
179563	101
137064	413
180585	8
54124	265
1900	2
165743	54
2926	1
122222	2
40815	1
93040	1
370	1
86898	1
170865	9
149879	9
92535	2
3446	1
4474	2
2427	1
179065	43
2428	1
1917	1
124287	6
179581	78
896	2
3456	1
4993	4
143235	24
179587	5
182657	336
899	1
179591	72
179589	52
178057	54
155529	2
135055	53
2959	1
159123	744
26003	1
1428	1
5013	1
159125	741
133013	1
919	1
7063	1
923	2
924	5
159135	743
159133	737
179619	122
164771	10
179617	63
116136	2
6058	1
107434	107
81834	2
8620	2
179629	111
59315	1
164278	12
151989	770
172981	1
5560	1
168888	5
3003	1
8125	2
957	1
138172	794
170429	2
72129	2
161732	32
171973	1
171979	1
117192	1
167368	29
34763	326
3022	1
26578	2
143833	44
26587	3
27611	1
26082	2
2019	2
124903	67
120807	1
5095	1
60904	1
181227	1
6123	1
53228	1
8684	1
26094	2
7153	5
130544	1
5618	1
6643	2
3571	1
63992	1
147966	1
182781	335
164861	87
130558	5
1023	1
