MovieId	Count
6144	1
1	5
157699	1
53251	136
122882	17
8195	9
2051	1
108548	9
5	1
4102	1
6	1
122886	15
8199	1
129032	2
122892	6
135180	4
17	1
2066	3
18	1
19	1
122898	2
159761	1
2067	1
26644	8
2068	5
2069	1
4119	1
69654	1
77846	1
2072	2
122904	24
2076	2
28	1
29	1
73759	1
77854	3
32	2
122912	36
34	2
6178	1
2082	1
122914	8
2083	1
2084	3
122916	12
86055	202
108583	8
122918	3
39	3
61481	41
122920	5
6187	9
102445	2
47	10
122926	3
4144	1
50	89
4146	1
4148	1
2102	1
51255	1
88118	1
2106	1
116797	5
88125	37
143422	15
63	1
4159	1
88129	1
86083	1
8261	1
8264	1
159819	167
73	2
6218	2
159817	424
110669	2
2125	1
127052	1
80	2
81	1
82	6
30803	1
2131	7
2132	4
32853	7
116823	2
4183	3
26712	3
88	1
2145	1
92259	48
47202	1
4194	1
6244	1
2150	1
2151	1
104	1
118888	6
105	3
106	3
159849	9
141422	1
110	12
111	10
2160	4
49265	1
2161	1
116	2
116855	3
143476	1
26743	1
2168	1
2170	2
127098	40
123	3
139385	1
4219	2
32892	4
4226	5
166024	1
4237	8
176271	4
8335	1
4239	1
2193	1
106642	21
118930	6
2197	1
4246	2
150	1
73881	20
45210	2
2203	3
155	1
57502	1
71838	1
49312	2
116897	2
162	5
182433	8
108709	4
129189	1
4262	2
166	3
8360	2
100527	1
8368	16
4272	1
4277	1
84152	1
4282	1
53435	1
2238	6
190	4
2239	1
193	4
94407	43
199	1
100553	71
82121	9
4298	1
102602	5
204	2
127180	1
151759	4
100556	2
4306	4
69844	20
112852	10
213	1
214	3
215	4
69849	9
4312	9
216	2
84187	1
86237	180
6365	1
82143	117
182493	1
4325	4
92391	1
231	3
6375	1
6377	5
233	2
236	1
4334	3
4335	4
6383	1
176371	4
246	2
2297	3
2300	1
182527	4
51455	1
151810	1
2305	2
94466	55
260	88
100617	1
266	1
8459	2
102666	1
2318	5
39183	8
53519	1
4369	1
2324	40
277	2
26903	1
6424	1
2329	7
55577	2
2330	2
8477	2
106782	6
6433	8
2337	2
176419	1
291	1
8484	6
293	3
2342	1
296	80
