Recommendation details for the first 50 users and their top 20 recommendations using 30 features and their full rating profile				
userId	movieId	popularity	avgRating	title
42273	[173345]	[19]	[ 3.44737]	['Cat City (1986)']
42273	[92259]	[13383]	[ 4.12781]	['Intouchables (2011)']
42273	[88810]	[5754]	[ 3.91076]	['Help, The (2011)']
42273	[2691]	[873]	[ 3.73826]	"[ ""Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998)""]"
42273	[65225]	[362]	[ 3.49033]	['Zeitgeist: Addendum (2008)']
42273	[92954]	[100]	[ 3.93]	['Prayers for Bobby (2009)']
42273	[33166]	[12222]	[ 3.78494]	['Crash (2004)']
42273	[116797]	[15656]	[ 4.01766]	['The Imitation Game (2014)']
42273	[84273]	[311]	[ 3.54341]	['Zeitgeist: Moving Forward (2011)']
42273	[166643]	[2566]	[ 4.01403]	['Hidden Figures (2016)']
42273	[2324]	[26858]	[ 4.1641]	['Life Is Beautiful (La Vita \xc3\xa8 bella) (1997)']
42273	[45503]	[346]	[ 3.75867]	['Peaceful Warrior (2006)']
42273	[104119]	[6]	[ 4.5]	['Forsyte Saga, The (1967)']
42273	[176601]	[162]	[ 4.24691]	['Black Mirror']
42273	[3226]	[6]	[ 4.16667]	['Hellhounds on My Trail (1999)']
42273	[8111]	[3]	[ 5.]	['Into the Woods']
42273	[88570]	[13]	[ 4.30769]	['Welfare (1975)']
42273	[95517]	[5]	[ 4.9]	['Barchester Chronicles, The (1982)']
42273	[1246]	[27330]	[ 3.91769]	['Dead Poets Society (1989)']
42273	[91007]	[5]	[ 4.5]	['I Want to Be a Soldier (2011)']
42577	[173345]	[19]	[ 3.44737]	['Cat City (1986)']
42577	[3147]	[32927]	[ 4.02457]	['Green Mile, The (1999)']
42577	[166568]	[283]	[ 3.72968]	['Miss Sloane (2016)']
42577	[173673]	[16]	[ 3.96875]	['The Foundling (1939)']
42577	[148106]	[7]	[ 3.85714]	['Falling Overnight (2011)']
42577	[6187]	[2707]	[ 3.68618]	['Life of David Gale, The (2003)']
42577	[64716]	[4144]	[ 3.72309]	['Seven Pounds (2008)']
42577	[8111]	[3]	[ 5.]	['Into the Woods']
42577	[4995]	[33729]	[ 3.96242]	['Beautiful Mind, A (2001)']
42577	[138962]	[9]	[ 3.72222]	['Electra (1962)']
42577	[102323]	[6]	[ 4.41667]	"[""Grin Without a Cat, A (Fond de l'air est rouge, Le) (1977)""]"
42577	[95517]	[5]	[ 4.9]	['Barchester Chronicles, The (1982)']
42577	[166643]	[2566]	[ 4.01403]	['Hidden Figures (2016)']
42577	[104119]	[6]	[ 4.5]	['Forsyte Saga, The (1967)']
42577	[2762]	[52064]	[ 4.0164]	['Sixth Sense, The (1999)']
42577	[3226]	[6]	[ 4.16667]	['Hellhounds on My Trail (1999)']
42577	[145839]	[467]	[ 3.55675]	['Concussion (2015)']
42577	[88570]	[13]	[ 4.30769]	['Welfare (1975)']
42577	[116797]	[15656]	[ 4.01766]	['The Imitation Game (2014)']
42577	[91007]	[5]	[ 4.5]	['I Want to Be a Soldier (2011)']
42779	[134849]	[222]	[ 3.98198]	['Duck Amuck (1953)']
42779	[105250]	[207]	[ 4.07729]	['Century of the Self, The (2002)']
42779	[63876]	[4137]	[ 3.75755]	['Milk (2008)']
42779	[5669]	[14821]	[ 3.71858]	['Bowling for Columbine (2002)']
42779	[53894]	[2807]	[ 3.64001]	['Sicko (2007)']
42779	[5224]	[149]	[ 3.84228]	['Promises (2001)']
42779	[100553]	[397]	[ 4.10076]	['Frozen Planet (2011)']
42779	[114635]	[142]	[ 4.02113]	['Look of Silence, The (2014)']
42779	[50658]	[479]	[ 3.97912]	['49 Up (2005)']
42779	[8622]	[10395]	[ 3.50202]	['Fahrenheit 9/11 (2004)']
42779	[39183]	[8369]	[ 3.60605]	['Brokeback Mountain (2005)']
42779	[142608]	[17]	[ 4.26471]	['A Song of Lisbon (1933)']
42779	[7566]	[858]	[ 4.00699]	['28 Up (1985)']
42779	[26712]	[430]	[ 3.98953]	['35 Up (1991)']
42779	[69849]	[517]	[ 3.85397]	['Roots (1977)']
42779	[120815]	[55]	[ 3.66364]	['Patton Oswalt: Werewolves and Lollipops (2007)']
42779	[2908]	[9548]	[ 3.7831]	"[""Boys Don't Cry (1999)""]"
42779	[86237]	[49]	[ 3.68367]	['Connections (1978)']
42779	[45950]	[3500]	[ 3.62486]	['Inconvenient Truth, An (2006)']
42779	[52767]	[505]	[ 3.94851]	['21 Up (1977)']
43130	[5952]	[56326]	[ 4.07519]	['Lord of the Rings: The Two Towers, The (2002)']
43130	[4993]	[61476]	[ 4.09843]	['Lord of the Rings: The Fellowship of the Ring, The (2001)']
43130	[171011]	[812]	[ 4.47968]	['Planet Earth II (2016)']
43130	[173345]	[19]	[ 3.44737]	['Cat City (1986)']
43130	[142871]	[15]	[ 4.4]	['O P\xc3\xa1tio das Cantigas (1942)']
43130	[159817]	[1326]	[ 4.44834]	['Planet Earth (2006)']
43130	[101271]	[8]	[ 4.1875]	['Community']
43130	[183437]	[31]	[ 3.91935]	"[ ""World of Tomorrow Episode Two: The Burden of Other People's Thoughts (2017)""]"
43130	[142608]	[17]	[ 4.26471]	['A Song of Lisbon (1933)']
43130	[2571]	[84014]	[ 4.14977]	['Matrix, The (1999)']
43130	[6896]	[286]	[ 4.03497]	['Shoah (1985)']
43130	[7153]	[56939]	[ 4.10403]	['Lord of the Rings: The Return of the King, The (2003)']
43130	[102323]	[6]	[ 4.41667]	"[""Grin Without a Cat, A (Fond de l'air est rouge, Le) (1977)""]"
43130	[106115]	[3]	[ 4.83333]	['Story of Science, The (2010)']
43130	[77366]	[35]	[ 4.24286]	['Deadwood (TV) (2004)']
43130	[104119]	[6]	[ 4.5]	['Forsyte Saga, The (1967)']
43130	[66616]	[45]	[ 4.44444]	"[""Monty Python's Flying Circus (1969)""]"
43130	[3226]	[6]	[ 4.16667]	['Hellhounds on My Trail (1999)']
43130	[88570]	[13]	[ 4.30769]	['Welfare (1975)']
43130	[95517]	[5]	[ 4.9]	['Barchester Chronicles, The (1982)']
43256	[3739]	[468]	[ 3.9594]	['Trouble in Paradise (1932)']
43256	[6981]	[235]	[ 3.98511]	['Ordet (Word, The) (1955)']
43256	[3462]	[5258]	[ 4.09623]	['Modern Times (1936)']
43256	[2920]	[1156]	[ 4.12197]	['Children of Paradise (Les enfants du paradis) (1945)']
43256	[6985]	[1027]	[ 3.99513]	"[""Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928)""]"
43256	[3307]	[3353]	[ 4.11452]	['City Lights (1931)']
43256	[5147]	[2217]	[ 4.08299]	['Wild Strawberries (Smultronst\xc3\xa4llet) (1957)']
43256	[6669]	[1542]	[ 4.10862]	['Ikiru (1952)']
43256	[307]	[7940]	[ 3.97217]	['Three Colors: Blue (Trois couleurs: Bleu) (1993)']
43256	[2351]	[1387]	[ 4.10707]	['Nights of Cabiria (Notti di Cabiria, Le) (1957)']
43256	[1232]	[2709]	[ 4.06755]	['Stalker (1979)']
43256	[3089]	[4127]	[ 4.11376]	[ 'Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948)']
43256	[6643]	[972]	[ 4.04733]	['Tokyo Story (T\xc3\xb4ky\xc3\xb4 monogatari) (1953)']
43256	[918]	[2068]	[ 3.73066]	['Meet Me in St. Louis (1944)']
43256	[3224]	[796]	[ 4.03643]	['Woman in the Dunes (Suna no onna) (1964)']
43256	[26587]	[546]	[ 4.11264]	['Decalogue, The (Dekalog) (1989)']
43256	[668]	[900]	[ 4.10444]	['Song of the Little Road (Pather Panchali) (1955)']
43256	[8125]	[637]	[ 3.96703]	['Sunrise: A Song of Two Humans (1927)']
43256	[670]	[829]	[ 4.11701]	['World of Apu, The (Apur Sansar) (1959)']
43256	[82143]	[343]	[ 3.93149]	['Alone in the Wilderness (2004)']
43450	[26082]	[676]	[ 4.13683]	['Harakiri (Seppuku) (1962)']
43450	[923]	[21469]	[ 4.08862]	['Citizen Kane (1941)']
43450	[1221]	[38676]	[ 4.26277]	['Godfather: Part II, The (1974)']
43450	[26150]	[942]	[ 4.05096]	['Andrei Rublev (Andrey Rublyov) (1969)']
43450	[668]	[900]	[ 4.10444]	['Song of the Little Road (Pather Panchali) (1955)']
43450	[3134]	[1822]	[ 4.13172]	['Grand Illusion (La grande illusion) (1937)']
43450	[6818]	[694]	[ 4.05331]	['Come and See (Idi i smotri) (1985)']
43450	[26587]	[546]	[ 4.11264]	['Decalogue, The (Dekalog) (1989)']
