UserId	Movies
42273	2324,173345,176601,3226,92259,84273,65225,91007,95517,33166,116797,92954,8111,166643,88810,104119,1246,2691,88570,45503
42577	173345,3226,116797,166568,95517,8111,91007,145839,138962,6187,88570,148106,173673,104119,2762,102323,3147,64716,166643,4995
42779	39183,69849,105250,45950,2908,5224,86237,134849,53894,8622,100553,52767,26712,63876,5669,114635,120815,7566,142608,50658
43130	4993,7153,5952,3226,173345,104119,77366,66616,183437,171011,101271,102323,6896,142871,95517,88570,159817,2571,142608,106115
43256	670,2920,668,3307,6643,26587,6669,6985,3462,3739,3089,307,82143,3224,2351,918,6981,1232,5147,8125
43450	924,670,2427,26150,1208,3093,26082,923,2351,2019,7064,26587,3134,111,858,6818,1204,668,1221,6985
43606	3226,858,173345,86237,171495,172591,77366,95517,88570,104119,142608,171011,159467,1221,183437,105250,102323,8111,179135,136086
43831	858,1387,1221,593,922,1219,3435,160289,912,904,1036,923,104069,1213,86377,105250,589,910,908,1240
43853	173345,3226,95517,142115,162376,8111,104119,86055,170705,102323,158611,159817,171495,88570,183437,318,91007,66616,53251,95837
43966	260,1196,7153,4993,5952,1210,122886,1198,88125,81834,1035,69844,54001,93040,8368,1287,40815,74282,27002,147384
44038	170705,78499,137904,77366,86237,66616,2571,3226,1,27002,66934,8961,173345,136892,95517,134853,48708,171749,92475,171495
44363	3226,173345,66616,170705,48708,95517,77366,136892,171011,104119,183437,2571,88570,158611,139096,8111,101271,102323,106115,105250
44447	93040,26587,8125,82143,923,668,1230,6985,6669,86237,750,105250,670,6643,32892,3307,32657,26453,3134,58425
44454	858,159817,171011,170705,82143,2019,93040,1221,2351,7502,1900,3226,172591,6981,26082,2920,171495,173345,1945,6669
44807	1537,93040,2804,138702,133712,86237,160718,166643,27002,93988,87960,32657,111130,101962,27857,130628,77177,56367,107883,137904
45101	122904,48708,173345,3226,66616,136892,95517,126086,112852,89745,140737,106115,106642,183437,58559,147376,101271,66934,4306,104119
45259	3226,171495,173345,171011,170705,858,95517,159817,77366,104119,66616,172591,88570,183437,102323,8111,142871,158611,318,179135
45999	171011,122882,171495,162376,58559,296,6874,170705,159817,66616,50,3226,122904,858,77366,48708,7438,174053,172591,168252
46629	173345,3226,95517,88570,8111,104119,183437,158611,106115,53251,86055,136086,102323,95837,177601,61481,91007,48708,136892,175315
47230	173345,3226,48708,95517,136892,104119,106115,8111,126086,79348,156587,91007,102323,183437,182657,182793,182781,182527,158611,125698
47701	171011,159817,171495,3226,170705,66616,173345,858,163809,318,174053,5618,77366,2019,95517,1203,142115,142871,172591,48708
47944	173345,3226,109487,86504,2324,174053,95517,88570,92259,171495,3147,8111,104119,183437,169906,176601,91007,106115,173673,102323
47993	318,170705,858,127098,173345,3226,159817,171495,171011,953,527,1221,95517,93040,77658,7502,86504,1203,77366,356
48351	173345,3226,88570,95517,8111,104119,86055,95837,158611,183437,61481,53251,177601,91007,77366,175315,26239,153364,56548,128874
48934	171011,173345,3226,159817,170705,2571,171495,95517,88570,26082,66616,104119,2019,183437,93040,8111,176601,26003,86055,102323
49212	26528,173345,1035,69849,595,74282,3226,88125,48708,364,2762,7669,95517,4306,79348,170705,318,171749,76093,7153
49796	170705,86347,104069,92535,86237,86345,86377,7153,86504,5952,4993,102217,260,1198,120815,66934,78160,858,7502,77366
50330	6874,122882,7438,260,296,1196,170705,1517,171011,1198,2918,858,122886,1036,3996,3210,3421,78499,2571,77366
51444	173345,3226,95517,8111,104119,183437,318,102323,158611,88570,106115,171495,91007,86055,176601,53251,177601,95837,61481,143422
51875	2351,670,57502,4848,6918,26150,2931,2920,7438,4422,47404,3676,3415,668,6874,4873,27366,1237,6985,26326
51890	1251,1248,2937,8195,1212,8620,3415,26094,1284,6783,1252,1572,27366,2395,7013,7762,26171,25805,2066,2935
51939	86237,105250,913,898,1284,950,25954,8785,26171,120815,7215,116855,142608,8620,1256,3022,162414,2937,3134,2019
51966	720,745,4973,163809,3739,86237,3996,134849,1223,137904,26073,162414,27423,6669,5618,120807,142608,1537,32657,93988
51982	173345,3226,170705,95517,26614,104119,173673,7502,318,88570,8111,171011,102323,166643,54286,159817,142115,7153,86055,91007
52146	858,2575,2351,1221,1208,2920,3134,2019,3415,296,1251,8724,26150,47404,2732,55820,1228,6918,1217,1237
53023	1235,99764,32657,50742,86237,30803,142608,1537,102602,1199,1734,1236,163809,4806,76738,26587,84716,668,345,92494
53834	7153,4993,5952,170705,171011,171495,159817,318,3226,159819,173345,174053,142115,176601,66616,162376,100044,7502,95517,260
54018	1204,93040,1208,1272,7502,26578,3415,4422,26150,1251,26094,1252,7759,3421,1250,1228,55820,7063,8154,7749
54441	3226,159467,173345,101850,142608,142871,171495,165069,88570,104119,111529,96563,183437,159129,159195,95517,116136,102323,143476,151810
54449	104944,66934,86237,86781,170705,40697,176601,114028,33779,120807,102217,26340,137904,142452,98956,111529,73881,55098,527,55071
54466	4993,39183,7669,7153,5952,86237,3226,171011,142115,173345,5224,142608,95517,104119,77366,104944,26453,142871,114635,159817
55448	1148,898,7669,74282,26528,745,720,6985,1207,1188,969,6218,1537,105250,134849,950,910,32853,3083,39183
55701	25750,7669,26528,93988,116,6985,8580,26003,3022,7064,670,60904,3739,6981,134849,26082,8125,25898,8459,74282
55768	858,296,171011,1221,26587,26082,159817,172591,170705,922,171495,750,6818,2019,6669,8620,923,6918,134849,2920
55951	82143,1900,326,159817,100553,1235,142115,7767,159819,26587,171011,6669,86504,3746,82,1172,1193,668,32657,6918
56103	6985,26150,720,26587,105250,6981,246,745,8125,2351,1148,25750,86237,6918,670,134849,7096,6982,3022,6669
56116	53894,45950,5224,8622,26453,26587,156369,55098,5669,670,71450,3894,92494,106,120807,26644,86237,668,69529,116
56291	86237,6985,6643,105250,8620,3134,27366,6669,26082,923,6433,6783,8199,134849,8785,93040,3415,8125,3022,26587
56427	147376,920,1035,140359,7669,106642,147384,1380,899,150596,117192,74282,953,26133,914,910,26528,912,147382,147372
56478	2920,171011,26150,159817,26587,6433,142115,670,6985,2351,26453,86504,159819,93040,527,7669,1035,3808,7153,4993
57041	7669,160289,171011,1198,608,720,92535,1288,86377,86237,104069,1148,127098,86345,912,48708,2395,86347,745,105250
57172	6985,6896,26587,82143,668,1900,670,8125,93040,26453,2357,1207,1104,7096,7767,1280,2908,2351,3089,6918
57728	78499,45210,3114,1036,8636,1923,1198,104841,858,8961,1407,377,1387,2706,168326,1307,1,80463,54286,2762
57787	318,92259,166643,72641,58376,173345,65225,1704,33166,111921,2324,116797,108548,84273,88810,3226,176601,5669,356,50
59199	105250,39183,162414,97648,86237,76111,142608,148881,55098,44421,160289,5224,159467,77366,163809,67429,42217,102602,64241,89759
59219	912,93040,1947,920,133712,5060,1207,2396,3363,1204,919,26347,3668,969,913,166643,3095,88125,953,1250
59880	173345,3226,95517,104119,136892,102323,183437,94407,106115,126086,91007,177601,125698,8111,88570,147376,158611,43341,136086,152043
60239	173345,3226,95517,159817,66616,171495,86055,183437,171011,48708,91007,104119,8111,158611,106115,176601,88570,318,173673,102323
60286	172591,3226,4993,7153,86237,173345,5952,1221,102323,104119,77366,26007,136892,95517,171495,183437,142608,159467,101271,88570
68688	1183,1959,173345,3226,7153,4993,159129,159467,509,102323,104119,2691,95517,8111,88570,159141,40629,183437,94407,177601
70213	608,86237,296,172591,858,750,95604,1252,923,142608,64241,1208,44421,1221,1193,165069,134849,101850,27423,105250
71087	127098,104069,86345,86347,86377,92535,98083,81156,106782,122904,140265,1194,129514,26471,130970,136445,42163,1753,4102,79008
71326	171011,170705,171495,159817,173345,858,3226,86504,527,7153,66616,50,176601,174053,7502,95517,260,58559,159819,4993
71528	318,7153,173345,122912,5952,2571,4993,3226,58559,176601,89745,174053,122886,66616,95517,126086,91529,33493,79132,48708
71548	26587,93040,86237,82143,912,899,8656,26150,670,6643,6985,953,3307,105250,306,7327,8785,898,5147,8188
72107	7153,5952,4993,122912,173345,117192,147382,88125,3226,165421,122886,89745,105943,82121,81834,95517,79348,147372,176601,150596
72369	170705,7153,5952,4993,93040,78499,137904,172591,86237,7502,77177,3226,171749,173345,6377,8961,171011,102323,95517,745
72987	7153,4993,5952,170705,171011,318,171495,174053,7502,162376,176601,159817,159819,100044,120807,1196,66616,102217,260,86347
72995	89745,122912,173345,48708,86955,59315,3226,122892,110102,122916,122920,95517,112852,143355,79348,91007,82121,182433,86055,173673
