userId,Movies,overlapCount
42273,"159135,159133,159123,159471,159125,110108,159467,160028,145620,146489,129223,169820,122535,169818,160030,147966,169816,146487,133013,151989",0
42577,"159135,159133,159123,159471,159125,110108,151989,160028,145620,146489,129223,169820,122535,169818,160030,169816,146487,147966,133013,183013",0
42779,"159135,159133,159123,159471,159125,138172,110108,151989,177209,182527,182793,182781,182657,183013,171807,124601,171821,54124,8445,135055",0
43130,"159135,159133,159123,159471,159125,110108,151989,138172,177209,183013,182527,182793,182781,182657,160028,145620,146489,129223,169820,122535",0
43256,"159135,159133,159123,159125,159471,110108,151989,177209,183013,138172,182793,182527,182781,182657,54124,159467,160028,145620,146489,129223",0
43450,"159135,159133,159123,159471,159125,116243,142903,137964,140014,180839,159050,109762,132124,159053,122701,124903,171221,159048,110108,151989",0
43606,"159135,159133,159123,159471,159125,110108,151989,177209,138172,182527,182793,182781,182657,183013,160028,145620,146489,129223,169820,122535",0
43831,"159135,159123,159133,159125,159471,138172,110108,151989,183013,177209,54124,124601,182527,182793,182781,182657,107434,155529,135055,171807",0
43853,"159135,159133,159123,159471,159125,110108,151989,160028,145620,146489,129223,169820,122535,169818,160030,169816,147966,146487,133013,183013",0
43966,"159135,159133,159123,159471,159125,138172,110108,151989,183013,135232,171807,177209,171821,155529,54124,183941,160028,145620,146489,129223",0
44038,"159135,159133,159123,159471,159125,110108,138172,151989,177209,183013,54124,182527,182793,182781,182657,160028,145620,146489,129223,169820",0
44363,"159135,159133,159123,159471,159125,110108,151989,177209,138172,183013,182527,182793,182781,182657,160028,145620,146489,129223,169820,122535",0
44447,"159135,159133,159123,159471,159125,116243,142903,137964,140014,159050,180839,110108,109762,132124,159053,122701,124903,171221,159048,138172",0
44454,"159135,159133,159123,159471,159125,110108,151989,138172,177209,183013,182527,182793,182781,182657,160028,145620,146489,129223,169820,122535",0
44807,"159135,159123,159133,159471,159125,110108,138172,151989,177209,183013,34763,160028,145620,146489,129223,169820,122535,169818,160030,169816",0
45101,"110108,159135,159133,159123,159471,159125,151989,160028,145620,146489,183013,129223,169820,122535,169818,160030,147966,169816,146487,133013",0
45259,"159135,159133,159123,159471,159125,110108,151989,177209,138172,183013,182527,182793,182781,160028,182657,145620,146489,129223,169820,122535",0
45999,"159135,159133,159123,159471,159125,110108,151989,177209,182527,182793,182781,182657,183013,138172,160028,145620,146489,129223,169820,122535",0
