UserId	Movies
42273	159471,159135,159125,159123,159133,110108,122535,159467,160028,151989,145620,169818,129223,160030,169816,147966,146487,169820,146489,133013
42577	159125,159135,159123,159471,159133,110108,151989,122535,160028,145620,169818,129223,160030,169816,147966,146487,169820,146489,133013,177209
42779	159123,159125,159471,159133,159135,110108,138172,151989,177209,182657,182527,182793,182781,135055,183013,122535,160028,145620,169818,129223
43130	159133,159471,159123,159125,159135,110108,151989,138172,177209,182657,182527,182793,182781,122535,160028,145620,169818,129223,160030,169816
43256	159471,159133,159125,159123,159135,110108,151989,177209,138172,182657,182793,182527,182781,183013,34763,54124,159467,171821,122535,160028
43450	159133,159123,159125,159471,159135,110108,124903,180839,109762,171221,159053,151989,132124,116243,137964,159048,140014,122701,159050,142903
43606	159471,159123,159125,159133,159135,110108,151989,177209,182657,182527,182793,182781,122535,160028,138172,145620,169818,129223,160030,169816
43831	159471,159133,159123,159125,159135,138172,110108,151989,107434,177209,54124,124601,171821,135055,171807,183013,155529,34763,182657,182527
43853	159471,159125,159123,159135,159133,110108,151989,122535,160028,145620,169818,129223,160030,169816,147966,146487,169820,146489,133013,177209
43966	138172,159471,159125,159123,159133,159135,110108,151989,171821,171807,177209,124601,183013,54124,135232,155529,166425,121051,135055,148084
44038	159471,159125,159123,159133,159135,110108,138172,151989,177209,183013,182657,182527,182793,182781,54124,122535,160028,145620,169818,129223
44363	159471,159133,159125,159123,159135,110108,151989,177209,138172,122535,160028,145620,169818,129223,160030,169816,147966,146487,169820,146489
44447	159123,159125,159471,159133,159135,110108,151989,138172,124903,109762,180839,159053,171221,177209,132124,116243,159048,182657,182527,182793
44454	159471,159125,159123,159133,159135,110108,151989,177209,138172,182657,182527,182793,182781,122535,160028,145620,169818,129223,160030,169816
44807	159125,159123,159135,159471,159133,110108,138172,151989,177209,122535,160028,145620,169818,129223,160030,169816,147966,146487,169820,146489
45101	110108,159471,159135,159125,159123,159133,151989,122535,160028,145620,169818,129223,160030,169816,147966,146487,169820,146489,133013,177209
45259	159471,159125,159123,159133,159135,110108,151989,177209,138172,182657,182527,182793,182781,122535,160028,145620,169818,129223,160030,169816
45999	159471,159123,159125,159133,159135,110108,151989,122535,160028,145620,169818,129223,160030,169816,147966,146487,169820,146489,133013,177209
46629	159125,159123,159471,159133,159135,110108,151989,122535,160028,145620,169818,129223,160030,169816,147966,146487,169820,146489,133013,177209
47230	110108,151989,122535,160028,145620,169818,129223,160030,169816,147966,146487,169820,146489,133013,159125,159135,159123,159471,159133,177209
47701	159471,159133,159123,159125,159135,110108,151989,177209,138172,182657,182527,182793,182781,122535,160028,145620,169818,129223,160030,169816
47944	159125,159123,159471,159135,159133,110108,151989,122535,160028,145620,169818,129223,160030,169816,147966,146487,177209,169820,146489,133013
47993	159125,159123,159471,159133,159135,110108,151989,138172,177209,182657,182527,182793,182781,183013,54124,122535,160028,145620,169818,129223
48351	159471,159125,159123,159133,159135,110108,151989,177209,122535,160028,145620,169818,129223,160030,169816,147966,146487,169820,146489,133013
