UserId	Movies
42273	159135,159133,159123,159471,159125,110108,159467,160028,145620,146489,129223,169820,122535,169818,160030,147966,169816,146487,133013,151989
42577	159135,159133,159123,159471,159125,110108,151989,160028,145620,146489,129223,169820,122535,169818,160030,169816,146487,147966,133013,183013
42779	159135,159133,159123,159471,159125,138172,110108,151989,177209,182527,182793,182781,182657,183013,171807,124601,171821,54124,8445,135055
43130	159135,159133,159123,159471,159125,110108,151989,138172,177209,183013,182527,182793,182781,182657,160028,145620,146489,129223,169820,122535
43256	159135,159133,159123,159125,159471,110108,151989,177209,183013,138172,182793,182527,182781,182657,54124,159467,160028,145620,146489,129223
43450	159135,159133,159123,159471,159125,116243,142903,137964,140014,180839,159050,109762,132124,159053,122701,124903,171221,159048,110108,151989
43606	159135,159133,159123,159471,159125,110108,151989,177209,138172,182527,182793,182781,182657,183013,160028,145620,146489,129223,169820,122535
43831	159135,159123,159133,159125,159471,138172,110108,151989,183013,177209,54124,124601,182527,182793,182781,182657,107434,155529,135055,171807
43853	159135,159133,159123,159471,159125,110108,151989,160028,145620,146489,129223,169820,122535,169818,160030,169816,147966,146487,133013,183013
43966	159135,159133,159123,159471,159125,138172,110108,151989,183013,135232,171807,177209,171821,155529,54124,183941,160028,145620,146489,129223
44038	159135,159133,159123,159471,159125,110108,138172,151989,177209,183013,54124,182527,182793,182781,182657,160028,145620,146489,129223,169820
44363	159135,159133,159123,159471,159125,110108,151989,177209,138172,183013,182527,182793,182781,182657,160028,145620,146489,129223,169820,122535
44447	159135,159133,159123,159471,159125,116243,142903,137964,140014,159050,180839,110108,109762,132124,159053,122701,124903,171221,159048,138172
44454	159135,159133,159123,159471,159125,110108,151989,138172,177209,183013,182527,182793,182781,182657,160028,145620,146489,129223,169820,122535
44807	159135,159123,159133,159471,159125,110108,138172,151989,177209,183013,34763,160028,145620,146489,129223,169820,122535,169818,160030,169816
45101	110108,159135,159133,159123,159471,159125,151989,160028,145620,146489,183013,129223,169820,122535,169818,160030,147966,169816,146487,133013
45259	159135,159133,159123,159471,159125,110108,151989,177209,138172,183013,182527,182793,182781,160028,182657,145620,146489,129223,169820,122535
45999	159135,159133,159123,159471,159125,110108,151989,177209,182527,182793,182781,182657,183013,138172,160028,145620,146489,129223,169820,122535
46629	159135,159133,159123,159471,159125,110108,151989,160028,145620,146489,129223,169820,122535,169818,160030,169816,146487,147966,133013,183013
47230	110108,151989,160028,145620,146489,129223,169820,183013,122535,169818,160030,169816,146487,147966,133013,159135,159133,159123,159471,159125
47701	159135,159133,159123,159471,159125,110108,151989,177209,183013,138172,182527,182793,182781,160028,182657,145620,146489,129223,169820,122535
47944	159135,159133,159123,159471,159125,110108,151989,160028,145620,146489,129223,169820,122535,169818,160030,169816,146487,147966,133013,183013
47993	159135,159133,159123,159125,159471,110108,151989,138172,177209,183013,182527,182793,182781,182657,54124,160028,145620,146489,129223,169820
48351	159135,159133,159123,159125,159471,110108,151989,177209,183013,138172,54124,182793,182527,160028,182781,145620,182657,146489,129223,169820
48934	159135,159133,159123,159471,159125,110108,151989,138172,177209,183013,182527,182793,182781,182657,160028,145620,146489,129223,169820,122535
49212	110108,138172,135232,155529,151989,183013,159135,159123,159133,159471,159125,177209,183941,160028,145620,146489,129223,169820,122535,169818
49796	159135,159133,159123,159471,159125,110108,138172,151989,177209,148084,183013,124601,182527,182793,182781,182657,54124,160028,145620,146489
50330	159135,159133,159123,159471,159125,110108,151989,138172,177209,183013,182527,182793,182781,182657,54124,107434,135055,160028,145620,146489
51444	159135,159133,159123,159471,159125,110108,151989,160028,145620,146489,129223,169820,122535,169818,160030,169816,147966,146487,133013,183013
51875	159135,159133,159123,159471,159125,116243,142903,137964,109762,140014,132124,159050,180839,124903,159053,122701,171221,159048,110108,151989
51890	159135,159133,159123,159471,159125,116243,142903,137964,140014,109762,180839,159050,132124,124903,159053,122701,171221,159048,110108,151989
51939	159135,159133,159123,159471,159125,110108,116243,142903,137964,159050,140014,180839,109762,132124,159053,124903,122701,171221,159048,138172
51966	159135,159123,159133,159471,159125,110108,151989,138172,177209,116243,183013,142903,137964,140014,159050,180839,182527,109762,182793,182781
51982	159135,159133,159123,159471,159125,110108,151989,160028,145620,146489,129223,169820,122535,169818,138172,160030,169816,147966,146487,133013
52146	159135,159133,159123,159471,159125,110108,151989,159467,182527,182793,182781,182657,177209,183013,160028,145620,146489,129223,169820,122535
53023	159135,159133,159123,159471,159125,110108,116243,142903,137964,109762,132124,140014,159050,124903,180839,159053,122701,171221,159048,151989
53834	159135,159133,159123,159471,159125,110108,151989,183013,177209,138172,160028,145620,146489,129223,169820,122535,169818,160030,147966,182793
54018	159135,159133,159123,159125,159471,110108,138172,151989,177209,54124,183013,124601,182527,182793,182781,182657,155529,135055,107434,34763
54441	159135,159133,159123,159471,159125,110108,151989,177209,160028,182527,182793,182781,145620,146489,182657,129223,169820,122535,169818,160030
54449	159135,159133,159123,159471,159125,110108,138172,151989,177209,148084,183013,182527,182793,182781,182657,160028,145620,146489,129223,169820
54466	159135,159133,159123,159471,159125,110108,151989,138172,177209,160028,145620,146489,129223,169820,122535,169818,160030,147966,169816,146487
55448	159135,159123,159133,159471,159125,110108,151989,138172,183013,177209,182527,182793,182781,182657,160028,145620,146489,129223,169820,122535
55701	159135,159133,159123,159471,159125,110108,151989,138172,177209,183013,182527,182793,182781,182657,54124,160028,145620,146489,129223,169820
55768	159135,159133,159123,159471,159125,110108,151989,138172,177209,182527,182793,182781,182657,183013,116243,54124,142903,137964,140014,159050
55951	159135,159133,159123,159471,159125,110108,151989,182527,182793,177209,182781,182657,138172,183013,160028,145620,146489,129223,169820,122535
56103	159135,159133,159123,159471,159125,116243,142903,137964,140014,159050,180839,109762,159053,122701,132124,124903,171221,159048,138172,110108
56116	159135,159133,159123,159471,159125,110108,151989,116243,160028,145620,146489,129223,169820,122535,169818,160030,142903,147966,159467,169816
56291	159135,159133,159123,159471,159125,110108,116243,142903,137964,140014,159050,180839,109762,132124,124903,159053,122701,171221,138172,151989
56427	159135,159123,159133,159125,159471,110108,151989,138172,183013,177209,54124,155529,182793,182527,182781,182657,160028,145620,146489,129223
56478	159135,159133,159123,159471,159125,110108,138172,151989,177209,183013,182527,182793,182781,182657,54124,171807,171821,160028,145620,146489
57041	159135,159123,159133,159471,159125,110108,151989,138172,183013,177209,182527,182793,182781,182657,54124,135055,34763,160028,145620,146489
57172	159135,159133,159123,159471,159125,110108,151989,138172,177209,182527,182793,182781,182657,183013,160028,145620,146489,171807,129223,169820
