MovieId	Count
122882	2
6	1
122886	4
109576	75
88075	4
1035	1
122892	1
107535	3
16	1
76816	18
2067	1
19	2
60436	8
3095	1
122904	2
30747	3
2076	1
28	1
140319	26
29	1
34	1
1059	2
119844	65
1061	1
122920	4
3114	1
164905	1
102445	1
151597	5
4148	1
100404	2
58	1
177209	46
88125	3
2109	2
3134	2
149570	39
1089	1
119874	10
32836	569
143430	2
1093	1
131140	615
70	1
1094	1
1096	1
3146	1
88140	1
160844	2
149586	54
1104	1
2132	1
3160	1
176219	1
30810	2
2140	1
2145	1
124007	4
3174	1
104	1
3176	1
105	1
135272	4
1132	1
110	1
2160	2
135280	1
3186	1
1148	7
69757	1
177285	1
73868	90
161936	168
106642	2
1173	1
7318	3
143515	91
3226	147
1178	1
144540	2
7327	3
1183	3
98464	2
138400	3
84131	4
77990	10
128169	9
141483	9
8361	1
1196	9
110765	2
1197	1
1199	1
1200	1
8368	2
1203	1
6323	1
1204	2
1206	4
50358	2
1207	1
2231	1
1208	2
8376	1
1210	3
1212	2
1214	1
58559	3
1219	1
1221	12
149700	315
6342	4
1223	2
1224	1
7371	1
203	2
1228	2
204	1
149711	319
2254	260
1230	2
6350	1
1232	1
1233	1
8402	62
123091	747
1235	4
69844	3
1237	1
215	1
1241	1
1244	4
6365	1
135388	173
1247	1
223	1
1248	2
1250	1
1251	3
3300	1
1256	3
1258	1
3307	4
1260	2
1261	2
173299	136
95477	6
142586	1
1272	1
2297	1
1275	1
5378	1
1282	1
94466	2
260	10
1287	1
4361	1
60684	1
7438	1
2318	1
39183	2
273	1
1298	1
4370	1
153873	3
2324	1
134423	6
160020	2
134427	12
64793	1
1307	1
3355	1
129309	265
149790	90
130332	90
45342	1
2335	2
169250	2
288	1
290	1
116002	9
134433	43
154917	306
72998	1
296	6
1320	1
146730	1
110897	8
307	1
1333	1
98615	11
3386	1
1339	1
103741	419
102716	3
86332	1
318	1
133441	2
1347	1
3396	1
326	1
327	3
86345	9
86347	7
2378	2
1354	1
144718	3
3404	1
1356	1
333	1
145743	1
7502	12
1360	492
67923	1
344	1
1372	1
90460	9
1373	1
1374	3
2398	2
2402	1
356	3
2404	1
86377	7
2410	2
2411	2
1387	1
139630	4
370	1
92535	2
2424	1
2427	6
147839	148
1405	4
2431	1
91529	1
166285	21
150931	1
6546	3
135569	1
6548	1
3476	2
3477	1
117142	29
1431	1
77208	8
2459	3
160159	35
52641	1
420	1
60838	1
1446	1
143791	4
134575	1
8622	2
2478	1
151989	93
1464	2
442	1
8641	1
135623	21
1483	3
56782	3
3535	2
466	1
471	1
106970	406
71135	1
86504	3
5618	1
1527	1
63992	1
509	3
156162	1
6664	1
520	1
2571	1
140809	1
44555	1
55820	1
524	2
6669	14
72204	1
527	4
141842	1
89620	1
534	2
110102	1
97817	823
3608	4
153114	2
159259	116
92696	27
170527	3
541	2
157212	13
174625	26
551	1
26153	779
553	2
162356	8
1590	1
112183	2
118328	26
2617	1
141886	5
2628	1
130634	1
589	1
8784	1
593	1
595	1
182875	9
608	1
2657	3
106082	1
31333	1
2662	1
108134	2
1639	1
2671	1
2672	1
136816	5
86644	1
31362	1
104069	2
2696	2
27276	1
1676	1
110223	16
89745	2
93840	1
2706	1
2707	1
104085	849
2710	1
2712	3
1690	2
670	3
3746	1
3753	2
129711	4
139952	2
172725	5
1719	2
5816	1
105144	842
1721	4
139966	318
106173	2
109249	1
131777	2
139974	119
1732	1
66246	4
134853	1
139978	28
139976	3
139982	1
94924	1
145100	5
133837	530
139986	256
720	11
2770	1
109269	1
724	1
1748	2
33493	1
139988	6
72407	1
91862	35
139994	1
1753	1
6874	2
50909	30
3809	1
140000	154
128738	2
140006	2
155366	3
745	8
750	3
4848	1
54001	2
2804	1
5881	1
8957	1
135933	1
50944	17
6912	1
178947	857
178951	862
178949	848
178955	862
118536	324
116491	2
2826	1
140046	2
178959	854
178957	855
172819	5
169750	2
148244	2
6934	2
160533	195
3863	2
138010	250
3868	3
4896	1
40738	14
805	1
5926	4
2857	2
139048	618
42794	1
118576	1
4914	1
120629	2
129845	6
88886	6
119615	284
106302	1
5952	14
3911	1
80715	1
146252	232
133964	1
180045	14
858	14
77658	4
2908	2
1884	2
131932	26
2920	4
87915	3
78701	13
4973	1
40815	2
26480	7
173939	4
150387	5
4979	1
1917	2
106369	2
4993	14
3969	1
135055	106
51086	1
2959	2
912	2
5008	1
69524	1
919	1
5015	1
920	3
2968	1
922	1
98203	1
923	2
924	4
106397	1
1952	1
1957	1
140196	3
95145	1
115624	1
95147	1
81834	2
109487	1
1967	1
78772	1
107447	3
1974	1
1975	1
953	3
954	1
161720	1
955	1
99260	6
1982	1
4034	1
180161	13
8132	1
5060	1
968	4
98251	6
5067	6
1997	2
118734	3
107477	24
115669	15
2011	2
2012	1
91104	2
2018	1
2019	3
7140	1
2021	2
144356	27
2023	2
2025	1
77802	1
179183	1
179181	2
7153	20
153584	6
86002	2
106489	1
162808	186
