userId	movies
21783	103741,1360,26153,858,135055,3226,149586,8402,116002,104085,151989,131932,120629,133441,180161,50909,73868,130332,77990,60436,
42265	104085,178955,178947,178949,178951,178959,178957,26153,105144,97817,123091,133837,139952,119615,140046,139974,143791,134423,118995,135388,
42287	104085,105144,178955,178947,178949,178951,178959,178957,97817,123091,133837,26153,131140,139048,32836,119615,140046,139974,139952,143791,
42298	104085,178955,178947,178949,178951,178959,178957,105144,133837,123091,131140,139048,97817,32836,106970,26153,149700,149711,146252,159259,
42969	105144,104085,106970,178955,178947,178949,178951,178959,178957,123091,97817,131140,139048,26153,32836,154917,103741,162808,159259,160533,
43191	105144,178955,178947,178949,178951,178959,178957,104085,97817,123091,26153,106970,32836,103741,129309,119615,140046,139974,139952,143791,
43236	26153,103741,105144,104085,1360,97817,135055,8402,106970,138010,162808,178955,178959,178951,178947,178949,178957,151989,143515,73868,
43277	105144,103741,178955,178947,178949,178951,178959,178957,26153,97817,123091,107477,139952,119615,140046,139974,143791,134423,118995,118536,
43717	26153,104085,105144,1360,103741,97817,178955,178947,178949,178951,178959,178957,123091,135055,173299,151989,143515,32836,129309,8402,
44240	104085,178955,178947,178949,178951,178959,178957,105144,97817,123091,26153,133837,131140,139048,32836,1360,149700,149711,106970,146252,
44365	103741,106970,123091,162808,1360,180045,173299,109576,129309,143515,128169,129845,91862,73868,159259,160533,161936,174625,26153,97817,
44655	7153,5952,4993,1360,26153,73868,104085,160159,130332,50944,3226,98615,138010,50909,135055,131932,8402,149586,103741,135623,
46351	104085,105144,26153,178955,178947,178949,178951,178959,178957,2254,32836,133837,154917,146252,1360,149700,149711,131140,139048,97817,
46439	104085,105144,178955,178947,178949,178951,178959,178957,97817,123091,133837,26153,32836,106970,131140,139048,119615,140046,139974,143791,
46702	105144,103741,154917,104085,106970,123091,26153,32836,178955,178947,178949,178951,178959,178957,97817,1360,159259,129309,160533,161936,
47183	103741,123091,26153,178955,178947,178949,178951,178959,32836,178957,106970,104085,105144,1360,162808,97817,133837,146252,129309,147839,
47664	858,106970,162808,1221,154917,32836,146252,7502,159259,160533,161936,149700,149711,131932,118734,109576,103741,95147,108090,95145,
47775	104085,26153,1360,138010,73868,3226,105144,146252,103741,149586,130332,2254,151989,135055,147839,149711,149700,162808,160159,149570,
48053	104085,105144,178955,178947,178949,178951,178959,178957,133837,123091,131140,139048,32836,97817,154917,2254,106970,149700,149711,146252,
48418	104085,178955,178947,178949,178951,178959,178957,133837,131140,139048,1360,26153,105144,97817,123091,177209,149700,149711,110223,103741,
49754	86347,720,86377,178955,178947,178949,178951,178959,178957,105144,97817,3608,104085,123091,139952,119615,140046,139974,143791,134423,
50312	104085,105144,178955,178947,178949,178951,178959,178957,26153,97817,133837,1360,123091,131140,139048,32836,149700,149711,103741,138010,
