movieId	Count
122882	2
6	1
122886	5
109576	70
88075	4
1035	1
106508	1
122892	1
16	1
76816	17
2067	1
19	2
60436	4
3095	1
122904	2
30747	2
2076	1
28	1
140319	25
29	1
34	1
1059	1
119844	179
1061	1
122920	3
3114	1
164905	1
102445	1
151597	5
4148	1
100404	2
58	1
177209	45
88125	3
2109	2
3134	2
149570	38
1089	1
32836	563
143430	1
1093	1
131140	608
70	1
1094	1
1096	1
3146	1
88140	1
160844	2
149586	60
1104	1
2132	1
3156	1
3160	1
176219	1
30810	2
2140	1
2145	1
124007	3
3174	1
104	1
3176	1
105	1
135272	4
110	2
2160	2
1148	6
69757	1
117897	1
73868	92
161936	180
106642	2
1173	1
7318	3
143515	93
3226	150
1178	1
144540	2
7327	3
1183	4
98464	1
138400	3
84131	3
77990	8
128169	8
141483	11
8361	1
1196	8
110765	2
177325	1
1199	1
1200	1
8368	2
1203	1
6323	1
1206	4
1207	1
2231	1
1208	2
8376	1
1210	2
1212	2
1214	1
58559	3
1219	1
1221	11
149700	315
6342	5
1223	3
1224	1
7371	1
203	2
1228	1
204	1
149711	309
2254	261
1230	2
6350	1
1232	2
8402	57
123091	743
118995	128
1235	5
1237	1
69844	2
112852	1
1241	1
1244	4
6365	1
135388	242
1247	1
223	1
1248	2
1251	3
3300	1
1256	3
1258	1
3307	6
1260	2
1261	2
173299	129
95477	6
1272	1
2297	1
1275	1
5378	1
1282	1
94466	2
260	10
1287	1
4361	1
7438	2
39183	2
273	1
4370	1
153873	2
2324	1
134423	52
160020	2
134427	331
64793	1
1307	1
3355	1
129309	263
149790	88
130332	88
45342	1
2335	2
106782	1
169250	2
288	1
290	1
116002	10
154917	325
72998	1
296	6
1320	1
146730	1
110897	8
307	1
1333	1
98615	11
3386	1
1339	1
103741	428
102716	3
86332	1
318	2
133441	2
1347	2
3396	2
326	1
327	3
86345	8
86347	7
2378	2
1354	1
3404	1
1356	1
7502	12
1360	494
67923	1
344	1
90460	9
1373	1
1374	2
2398	2
2402	1
356	2
2404	1
86377	6
2410	2
2411	2
1387	1
139630	4
370	1
92535	2
2424	1
2427	6
147839	149
1405	4
2431	1
91529	1
166285	16
150931	1
6546	3
135569	1
6548	1
3476	2
3477	1
117142	26
1431	1
77208	8
2459	2
160159	36
52641	1
420	1
6565	1
60838	4
134575	1
8622	2
2478	1
151989	92
1464	3
442	1
8641	1
