userId	Movies
21783	103741,1360,858,26153,135055,3226,149586,8402,116002,104085,151989,131932,120629,133441,180161,50909,73868,77990,130332,76816
42265	104085,178959,178955,178951,178957,178949,178947,26153,105144,97817,123091,133837,103741,139978,139966,140046,134427,139976,143791,139982
42287	104085,105144,178959,178955,178951,178957,178949,178947,97817,123091,133837,26153,131140,139048,32836,139978,139966,140046,134427,139976
42298	104085,178959,178955,178951,178957,178949,178947,105144,133837,123091,139048,131140,97817,32836,106970,26153,149700,149711,146252,161936
42969	105144,104085,106970,178959,178955,178957,178951,178949,178947,123091,97817,131140,139048,26153,32836,154917,103741,162808,161936,160533
43191	105144,178957,178959,178949,178955,178951,178947,104085,97817,123091,26153,106970,32836,103741,129309,139978,139966,140046,134427,139976
43236	26153,103741,105144,104085,1360,97817,135055,106970,8402,138010,178957,178949,178959,178955,178947,178951,162808,151989,143515,73868
43277	105144,103741,178957,178949,178959,178955,178947,178951,26153,97817,123091,107477,106970,139978,139966,140046,134427,139976,139982,134433
43717	26153,105144,104085,1360,103741,97817,178957,178949,178959,178955,178951,178947,135055,123091,173299,151989,143515,32836,129309,8402
44240	104085,178959,178955,178951,178957,178949,178947,105144,97817,26153,123091,133837,131140,139048,32836,1360,149700,149711,106970,146252
44365	103741,106970,123091,162808,1360,180045,173299,109576,129309,143515,129845,128169,91862,73868,161936,160533,159259,174625,97817,26153
44655	7153,5952,4993,1360,26153,73868,104085,160159,130332,3226,50944,98615,138010,135055,50909,131932,103741,149586,8402,135623
46351	104085,105144,26153,178959,178955,178951,178947,178957,178949,2254,32836,133837,154917,146252,149700,149711,1360,139048,131140,97817
46439	104085,105144,178959,178955,178951,178957,178949,178947,97817,123091,133837,26153,106970,32836,131140,139048,139978,139966,140046,134427
46702	105144,103741,154917,104085,106970,123091,26153,178957,178949,178947,178959,178955,178951,32836,97817,1360,161936,160533,159259,92696
47183	103741,123091,26153,178959,178955,178951,178957,178949,178947,32836,106970,104085,105144,1360,162808,97817,146252,133837,129309,131140
47664	858,1221,106970,162808,154917,32836,146252,161936,160533,159259,103741,131932,7502,118734,109576,149700,149711,160159,95147,95145
47775	104085,26153,1360,105144,73868,3226,138010,146252,103741,149586,130332,151989,2254,135055,149700,149711,147839,149570,162808,160159
48053	104085,105144,178959,178955,178951,178957,178949,178947,133837,123091,139048,131140,32836,97817,2254,154917,106970,149700,149711,146252
48418	104085,178959,178955,178951,178957,178949,178947,133837,139048,131140,1360,26153,105144,97817,123091,149700,149711,177209,2254,110223
49754	720,86347,86377,178957,178949,178959,178955,178951,178947,1223,3608,105144,97817,104085,123091,139978,139966,140046,134427,139976
50312	104085,105144,178959,178955,178951,178957,178949,178947,26153,97817,133837,1360,123091,139048,131140,32836,149700,149711,103741,138010
50626	104085,105144,178959,178955,178951,178957,178949,178947,32836,26153,3226,139048,133837,131140,149586,147839,78701,149790,1360,98251
50738	745,1221,1148,1223,1287,7502,720,103741,527,912,149586,26153,32836,135055,8402,3307,3226,60436,26480,144356
51718	7153,4993,5952,104085,26153,1360,105144,8402,149586,138010,173299,130332,3226,73868,160159,50909,149570,180161,154917,135055
51796	103741,104085,26153,105144,1360,178957,178949,178947,178959,178955,178951,32836,135055,129309,92696,123091,139978,139966,140046,134427
52146	105144,178957,178949,178959,178955,178951,178947,97817,123091,104085,26153,103741,106970,139978,139966,140046,134427,139976,143791,139982
52423	103741,123091,106970,105144,26153,178957,178949,178959,178955,178951,178947,97817,1360,32836,129309,104085,162808,143515,139978,139966
52950	104085,97817,178957,178949,178959,178955,178951,178947,105144,26153,1360,123091,139978,139966,140046,134427,139976,139982,134433,143791
52962	104085,178957,178949,178959,178955,178951,178947,97817,26153,105144,1360,123091,173299,139978,139966,140046,134427,139976,139982,143791
52984	105144,178957,178959,178949,178955,178951,178947,123091,97817,104085,139978,139966,140046,107477,134427,139976,139982,134433,143791,134423
53008	178957,178949,178959,178955,178951,178947,106970,123091,97817,32836,133837,104085,139978,139966,140046,134427,139976,143791,107477,139982
53488	106970,178959,178957,178955,178949,178951,178947,97817,107477,139978,139966,140046,134427,139976,143791,139982,134423,134433,119844,118995
53663	104085,178959,178955,178951,178957,178949,178947,97817,105144,123091,173299,26153,139048,131140,133837,139978,139966,140046,134427,139976
53746	178957,178949,178959,178955,178951,178947,123091,105144,97817,104085,106970,26153,129309,139978,139966,140046,134427,139976,143791,139982
54947	720,86345,86347,745,105144,178957,178949,178959,178955,178951,178947,104085,97817,1360,26153,103741,129309,123091,92696,139978
55147	1221,858,923,1228,1256,1260,1982,968,3134,2019,7327,922,1212,1248,1196,1252,4993,1997,260,86377
55553	105144,104085,178959,178957,178955,178949,178951,178947,26153,97817,123091,32836,103741,1360,131140,139048,106970,154917,129309,139978
