userId	Movies
21783	103741,1360,858,26153,135055,3226,149586,8402,116002,104085,151989,131932,133441,120629,180161,50909,73868,130332,77990,60436
42265	104085,178951,178949,178957,178955,178959,178947,26153,105144,97817,123091,133837,103741,139994,134427,140006,140046,143791,140000,134423
42287	104085,105144,178951,178949,178957,178955,178959,178947,97817,123091,133837,26153,139048,131140,32836,139994,134427,140006,140046,143791
42298	104085,178951,178949,178957,178955,178959,178947,105144,133837,123091,139048,131140,97817,32836,106970,26153,149711,149700,146252,161936
42969	105144,104085,106970,178951,178949,178957,178955,178959,178947,123091,97817,131140,139048,26153,32836,154917,103741,162808,160533,159259
43191	105144,178951,178949,178957,178955,178959,178947,104085,97817,123091,26153,106970,32836,103741,129309,139994,134427,140006,140046,140000
43236	26153,103741,105144,104085,1360,97817,135055,106970,8402,138010,162808,178951,178949,178955,178959,178957,178947,151989,143515,73868
43277	103741,105144,178951,178949,178957,178955,178959,178947,26153,97817,123091,106970,107477,139994,134427,140006,140046,140000,143791,134423
43717	26153,104085,105144,1360,103741,97817,178951,178949,178957,178955,178959,178947,135055,123091,173299,151989,143515,32836,129309,8402
44240	104085,178951,178949,178957,178955,178959,178947,105144,97817,123091,26153,133837,139048,131140,32836,1360,149711,149700,146252,106970
44365	103741,106970,123091,162808,1360,180045,173299,109576,128169,129845,129309,143515,160533,91862,159259,161936,73868,174625,97817,26153
44655	7153,4993,5952,1360,26153,73868,104085,160159,130332,3226,50944,98615,138010,50909,135055,131932,149586,8402,135623,182875
46351	104085,105144,26153,178955,178951,178959,178947,178949,178957,2254,32836,133837,154917,146252,149711,149700,1360,139048,131140,97817
46439	104085,105144,178951,178949,178957,178955,178959,178947,97817,123091,133837,26153,32836,106970,139048,131140,139994,134427,140006,140046
46702	105144,103741,104085,154917,106970,123091,26153,32836,178951,178949,178957,178955,178959,178947,97817,1360,160533,159259,92696,161936
47183	103741,123091,26153,32836,178951,178949,178957,178955,178959,178947,106970,104085,1360,105144,162808,97817,146252,133837,129309,147839
47664	858,1221,106970,162808,154917,32836,146252,131932,160533,159259,161936,118734,95147,108090,95145,109576,103741,160159,149700,149711
47775	104085,26153,1360,138010,73868,146252,3226,105144,103741,149586,130332,2254,151989,149700,135055,149711,147839,162808,149570,160159
48053	104085,105144,178951,178949,178957,178955,178959,178947,133837,123091,139048,131140,32836,97817,154917,2254,106970,149711,149700,146252
48418	104085,178951,178949,178957,178955,178959,178947,133837,139048,131140,26153,1360,105144,97817,123091,149711,149700,177209,110223,103741
49754	86347,720,86377,178951,178949,178957,178955,178959,178947,3608,105144,97817,1223,104085,123091,139994,134427,140006,140046,140000
50312	104085,178951,178949,178955,178957,178959,178947,105144,26153,97817,133837,1360,123091,139048,131140,32836,149700,149711,103741,138010
50626	104085,105144,178955,178951,178959,178949,178947,178957,32836,26153,3226,139048,131140,133837,149586,78701,147839,149790,1360,150387
50738	745,1221,1148,1223,1287,720,7502,912,103741,149586,26153,32836,135055,527,8402,3307,3226,60436,144356,117142
51718	7153,4993,5952,104085,26153,1360,105144,8402,149586,138010,130332,3226,173299,73868,160159,50909,149570,180161,135055,60838
51796	103741,104085,26153,105144,1360,178951,178949,178957,178955,178959,178947,32836,123091,135055,92696,129309,134427,139994,140006,140046
52146	105144,178951,178949,178957,178955,178959,178947,123091,97817,104085,26153,103741,106970,134427,139994,140006,140046,140000,143791,134423
52423	103741,123091,106970,26153,105144,178951,178949,178957,178955,178959,178947,97817,1360,32836,129309,104085,162808,143515,160533,159259
52950	104085,97817,178951,178949,178957,178955,178959,178947,105144,26153,720,1360,123091,139994,134427,140006,140046,140000,143791,134423
52962	104085,178951,178949,178957,97817,178955,178959,178947,26153,1360,105144,123091,173299,139994,134427,140006,140046,140000,143791,134423
52984	105144,178951,178949,178957,178955,178959,178947,97817,123091,104085,134427,139994,140006,140046,143791,140000,107477,134423,139966,139952
53008	106970,178951,178949,178957,178955,178959,178947,123091,97817,32836,133837,139994,134427,140006,140046,140000,107477,143791,134423,139966
53488	106970,178951,178949,178957,178955,178959,178947,97817,107477,139994,134427,140006,140046,140000,143791,134423,139966,139952,139988,119615
53663	104085,178951,178949,178957,178955,178959,178947,97817,105144,123091,173299,26153,131140,139048,133837,139994,134427,140006,140046,140000
53746	178951,178949,178957,178955,178959,178947,123091,97817,105144,104085,106970,26153,129309,139994,134427,140006,140046,140000,143791,134423
54947	720,86345,86347,745,105144,178951,178949,178957,178955,104085,178959,178947,97817,1360,26153,103741,123091,129309,92696,134427
55147	1221,858,923,1228,1982,1260,968,1256,3134,2019,7327,1196,922,260,1212,1248,1200,1997,4993,7153
55553	105144,104085,178951,178949,178957,178955,178959,178947,26153,97817,123091,32836,103741,131140,139048,1360,106970,154917,129309,139994
55605	858,103741,106970,105144,154917,123091,26153,162808,32836,1360,160533,159259,161936,143515,129309,92696,149586,97817,135055,107477
55806	26153,178951,178949,178957,178955,178959,178947,103741,97817,104085,139994,134427,140006,140046,140000,143791,134423,139966,139952,139988
55926	178951,178949,178957,178955,178959,178947,105144,104085,97817,123091,139994,134427,140006,140046,140000,143791,134423,139966,139952,139988
57351	104085,26153,105144,1360,178951,178949,178957,178955,178959,178947,97817,103741,135055,130332,151989,138010,129309,143515,134427,139994
57496	105144,104085,26153,178951,103741,178949,178957,178955,178959,178947,97817,1360,123091,131140,139048,32836,154917,149586,135055,129309
