"title"	"movieId"	"popularity"	"avgRating"
"\"Great Performances\" Cats (1998)"	51372	223	2.82287
"#1 Cheerleader Camp (2010)"	136604	9	2.77778
"#Captured (2017)"	183901	1	2.5
"#chicagoGirl: The Social Network Takes on a Dictator (2013)"	111878	5	3
"#Horror (2015)"	151789	19	2.07895
"#realityhigh (2017)"	177545	17	3.38235
"#SCREAMERS (2016)"	190861	1	2.5
"$ (Dollars) (1971)"	85177	32	2.78125
"$1,000 on the Black (1966)"	128067	3	3.33333
"$100,000 for Ringo (1965)"	148130	1	2.5
"$5 a Day (2008)"	80361	55	2.97273
"$50K and a Call Girl: A Love Story (2014)"	151931	2	3.75
"$9.99 (2008)"	74486	74	3.10811
"$ellebrity (Sellebrity) (2012)"	107501	8	2.4375
"'49-'17 (1917)"	143681	3	1.83333
"'63 Boycott (2016)"	189903	1	4.5
"'71 (2014)"	117867	312	3.72436
"'burbs, The (1989)"	2072	3805	3.11629
"'Gator Bait (1974)"	146295	4	2.625
"'Hellboy': The Seeds of Creation (2004)"	97757	121	3.05372
"'Human' Factor, The (Human Factor, The) (1975)"	110008	5	1.9
"'Master Harold' ... And the Boys (2010)"	116513	1	5
"'Master Harold'... and the Boys (1985)"	161938	3	4
"'Neath the Arizona Skies (1934)"	70121	24	2.29167
"'night Mother (1986)"	3112	378	3.45899
"'Pimpernel' Smith (1941)"	149562	1	3
"'R Xmas (2001)"	81698	28	2.69643
"'Round Midnight (1986)"	26564	212	3.62736
"'Salem's Lot (2004)"	27751	185	3.13243
"'Til Madness Do Us Part (2013)"	155397	4	2.875
"'Til There Was You (1997)"	779	558	2.85573
"'Tis the Season for Love (2015)"	149380	11	2.59091
"'Twas the Night (2001)"	135252	3	2
"'Twas the Night Before Christmas (1974)"	101670	19	3.26316
"(500) Days of Summer (2009)"	69757	12320	3.75564
"(A)sexual (2011)"	115263	14	3.28571
"(Absolutions) Pipilotti's Mistakes ((Entlastungen) Pipilottis Fehler) (1988)"	115441	1	1
"(Dis)Honesty: The Truth About Lies (2015)"	160010	31	3.62903
"(T)ERROR (2015)"	147033	17	3.5
"(The New) War of the Buttons (2011)"	145733	8	2.5
"(Untitled) (2009)"	80729	61	3.41803
"*batteries not included (1987)"	8169	2007	3.26333
"+1 (2013)"	108085	57	2.91228
"...All the Marbles (1981)"	5706	59	2.38136
"...And God Spoke (1993)"	6600	56	3.08036
"...And Justice for All (1979)"	3420	1286	3.63414
"...And the Earth Did Not Swallow Him (1995)"	137082	1	3
"...E fuori nevica! (2014)"	154686	1	1
"...First Do No Harm (1997)"	189013	2	3
"...ing (2003)"	141944	5	3.1
"...tick... tick... tick... (1970)"	26216	6	3.08333
".45 (2006)"	57276	26	2.63462
".hack Liminality In the Case of Kyoko Tohno"	157791	1	5
".hack Liminality In the Case of Yuki Aihara"	157789	1	5
".hack Liminality: In the Case of Mai Minase"	157787	2	4
".hack//Beyond the World (2012)"	182349	2	2.5
"0.5mm (2014)"	192097	1	3
"00 Schneider - Im Wendekreis der Eidechse (2013)"	167748	1	4.5
"00 Schneider - Jagd auf Nihil Baxter (1994)"	157110	9	4
"008: Operation Exterminate (1966)"	133005	1	3
"009 Re: Cyborg (2012)"	101708	10	1.8
"009-1: The End of the Beginning (2013)"	140828	1	3
"08/15 (1954)"	142521	1	4
"09:06 (2009)"	183823	1	3
"1 (2013)"	113214	19	3.89474
"1 (2014)"	128878	10	3.15
"1 Chance 2 Dance (2014)"	158526	3	3.33333
"1 Journée (2007)"	178611	1	3.5
"1 Litre of Tears (2005)"	169116	1	2.5
"1 Mile to You (2017)"	170783	4	3.125
"1 Night (2017)"	174679	11	3.27273
"1 P.M. (1972)"	149300	3	3.5
"1, 2, 3, Sun (Un, deuz, trois, soleil) (1993)"	8776	18	2.63889
"1, 2, 3, voleurs (2011)"	189395	1	2
"1-900 (06) (1994)"	889	131	3.37023
"1-Ichi (2003)"	178569	1	2.5
"1. Mai (2008)"	167196	2	4.25
"10 (1979)"	6658	811	2.88471
"10 000 timmar (2014)"	128586	4	1.875
"10 Attitudes (2001)"	140745	2	3.75
"10 Billion: What's On Your Plate (2015)"	158759	2	4.25
"10 Cent Pistol (2015)"	139717	6	0.75
"10 Cloverfield Lane (2016)"	152077	3007	3.68025
"10 Days in a Madhouse (2015)"	170445	3	2.66667
"10 Items or Less (2006)"	49284	491	3.32485
"10 minutes (10 minuta) (2002)"	115439	4	2
"10 Minutes (2014)"	169484	1	0.5
"10 Mountains 10 Years (2010)"	93391	2	2.5
"10 MPH (2007)"	73314	3	3.83333
"10 Questions for the Dalai Lama (2006)"	56561	31	3.62903
"10 Rillington Place (1971)"	8017	169	3.50296
"10 Rules for Sleeping Around (2013)"	158659	7	1.85714
"10 Things I Hate About You (1999)"	2572	15532	3.52443
"10 to Midnight (1983)"	6168	112	2.75
"10 Years (2011)"	98230	109	2.99083
"10%: What Makes a Hero? (2013)"	148801	1	3.5
"10+10 (2011)"	149041	1	3
"10,000 BC (2008)"	58293	2802	2.53444
"10,000 Black Men Named George (2002)"	161072	4	2.5
"10,000 Days (2014)"	148278	1	2
"10,000 Dollars for a Massacre (1967)"	142018	2	2.75
"10.0 Earthquake (2014)"	148420	3	2.33333
"10.000 Km (Long Distance) (2014)"	111517	18	2.47222
"10.5 (2004)"	112864	4	2.875
"10.5: Apocalypse (2006)"	57171	3	3.16667
"100 Bloody Acres (2012)"	127974	29	2.94828
"100 Days (1991)"	146172	1	1
"100 Days Before the Command (1991)"	171783	2	2.25
"100 Days With Mr. Arrogant (2004)"	149761	10	2.65
"100 Degrees Below Zero (2013)"	133289	4	2.375
"100 Feet (2008)"	61948	112	2.88393
"100 Ghost Street: The Return of Richard Speck (2012)"	148803	5	1.5
"100 Girls (2000)"	7541	487	3.04004
"100 grams for Bravery (1976)"	147320	1	3.5
"100 Men and a Girl (One Hundred Men and a Girl) (1937)"	72212	18	2.80556
"100 metros (2016)"	166312	7	3.92857
"100 Million BC (2008)"	154290	3	3
"100 Poems for Stella (2017)"	181649	1	2.5
"100 Rifles (1969)"	59834	61	2.7541
"100 Streets (2016)"	168350	7	3
"100 Tears (2007)"	177643	3	1.5
"100 Ways to Murder Your Wife (Sha qi er ren zu) (1986)"	98941	2	3.25
"100 Women (2002)"	171899	3	4.33333
"100 Years at the Movies (1994)"	125988	2	3
"100 Years of Evil (2010)"	103089	1	4
"100 Yen Love (2014)"	183075	3	4.16667
"100 Yen: The Japanese Arcade Experience (2012)"	150780	2	4.5
"100% Love (2011)"	152041	8	3.6875
"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse) (1960)"	8198	73	3.43151
"1000 Journals (2007)"	126999	1	2
"1000 To 1 (2014)"	137144	2	3.75
"1001 Grams (2014)"	142857	13	3.23077
"1001 Nights (1990)"	126164	3	2.16667
"101 Dalmatians (1996)"	1367	10514	3.0632
